ï»¿ID,MUNICIPALITE,MODELE,COULEUR,MISEAJOUR,LONGITUDE,LATITUDE,DATEENTRETIEN,PRESSIONDYNAMIQUE
,60013,McAvity M59M,Rouge,2019-09-17,-73.46913685448878,45.73415812330989,2023-10-17,42
,60013,McAvity M59M,Rouge,2018-04-13,-73.47215804373369,45.733057795621825,2023-10-17,30
,60013,McAvity M59M,Rouge,2019-09-16,-73.47096584285335,45.73356202696396,2023-10-17,36
,60013,McAvity M59M,Rouge,2019-09-17,-73.47487647053737,45.73421986879243,2023-10-17,45
,60013,AVK Model 27-80,Rouge,2019-09-17,-73.47143204672658,45.732389988404435,2023-10-17,35
,60013,McAvity M59M,Rouge,2018-04-13,-73.47166882801913,45.73115900205285,2023-10-17,36
,60013,McAvity M67,Rouge,2019-09-17,-73.47109285931583,45.7306973636533,2023-10-17,36
,60013,McAvity M67,Rouge,2018-04-13,-73.47262128129795,45.73130977195894,2023-10-17,35
,60013,McAvity M59M,Rouge,2019-09-17,-73.47430128968323,45.732347823252745,2023-10-17,25
,60013,McAvity M59M,Rouge,2018-04-13,-73.47402475324328,45.733563881579194,2023-10-17,30
,60013,McAvity M59M,Rouge,2019-09-17,-73.47478126438901,45.730732611517766,2023-10-17,25
,60013,McAvity M67,Rouge,2019-09-17,-73.47298476017242,45.72851156401513,2023-10-17,35
,60013,McAvity M67,Rouge,2019-09-16,-73.47575784201324,45.730834675203475,2023-10-17,45
,60013,McAvity M59M,Rouge,2019-09-16,-73.47527494174324,45.73245538054947,2023-10-17,45
,60013,AVK Model 27-80,Rouge,2019-09-16,-73.46809203878692,45.73304045854546,2023-10-17,45
,60013,McAvity M67 Brigadier,Rouge,2018-04-13,-73.46624153052447,45.73065958317228,2023-10-17,24
,60013,McAvity M67,Rouge,2018-04-13,-73.47970828148787,45.73498333425973,2023-10-17,42
,60013,McAvity M67,Rouge,2019-12-16,-73.4664780130597,45.736101105148535,2023-10-17,46
,60013,McAvity M67,Rouge,2018-04-13,-73.46539862617433,45.737269372520615,2023-10-17,46
,60013,McAvity M67,Rouge,2018-04-13,-73.46663126102716,45.73458797480955,2023-10-17,46
,60013,McAvity M59M,Rouge,2018-04-13,-73.4649508670511,45.73645212217807,2023-10-17,46
,60013,McAvity M59M,Rouge,2019-12-16,-73.46384006872118,45.73766588404607,2023-10-17,46
,60013,McAvity M59M,Rouge,2019-03-08,-73.4632274282525,45.737054294881375,2023-10-17,46
,60013,McAvity M59M,Rouge,2019-12-16,-73.46401080079654,45.736200080150276,2023-10-17,46
,60013,McAvity M59M,Rouge,2019-12-13,-73.46220342064957,45.73690794559534,2023-10-17,38
,60013,McAvity M67,Rouge,2019-03-08,-73.46587973657664,45.73389026045429,2023-10-17,38
,60013,McAvity M67 Brigadier,Rouge,2019-03-08,-73.46501488387452,45.73485328938101,2023-10-17,38
,60013,McAvity M67,Rouge,2018-04-13,-73.46383695062151,45.73509293268889,2023-10-17,38
,60013,Concord D67M,Rouge,2019-12-16,-73.46383592885378,45.73372914840388,2023-10-17,50
,60013,McAvity M67,Rouge,2019-12-17,-73.4624893044934,45.740232743843215,2023-10-17,40
,60013,McAvity M67,Rouge,2019-08-08,-73.46143902373505,45.74146433353227,2023-10-17,42
,60013,McAvity M59M,Rouge,2019-03-08,-73.46290465600167,45.73812384293193,2023-10-17,30
