,,,"Sous-total Mercier-Hochelaga-Maisonneuve",,21 364 $
,,"Artistes en Arts Visuels du nord de Montréal",,"Montréal-Nord",619 $
,,,"Sous-total Montréal-Nord",,619 $
,,"ATSA",,"Outremont",348 $
,,"Corporation Wapikoni mobile",,"Outremont",2 652 $
,,"Super Studio",,"Outremont",1 565 $
,,,"Sous-total Outremont",,4 565 $
,,"Occurrence, espace d'art et d'essai contemporains",,"Plateau-Mont-Royal",1 402 $
,,"Agence TOPO",,"Plateau-Mont-Royal",1 020 $
,,"Amicale de la culture indépendante (A.C.I.) inc.",,"Plateau-Mont-Royal",1 014 $
,,"Articule",,"Plateau-Mont-Royal",1 376 $
,,"Association lurelu",,"Plateau-Mont-Royal",675 $
,,"Atelier Graff inc.",,"Plateau-Mont-Royal",1 865 $
,,"Atelier le fil d'Ariane inc.",,"Plateau-Mont-Royal",2 778 $
,,"Ateliers créatifs Montréal",,"Plateau-Mont-Royal",602 $
,,"Ateliers X13",,"Plateau-Mont-Royal",1 093 $
,,"Cahiers de théâtre jeu inc.",,"Plateau-Mont-Royal",487 $
,,"Centre d'art et diffusion Clark",,"Plateau-Mont-Royal",1 899 $
,,"Centre de céramique-poterie Bonsecours inc.",,"Plateau-Mont-Royal",1 087 $
,,"Centre de diffusion 3D",,"Plateau-Mont-Royal",229 $
,,"Cinema Politica",,"Plateau-Mont-Royal",205 $
,,"Collectif liberté inc.",,"Plateau-Mont-Royal",321 $
,,"Conférence internationale des arts de la scène de Montréal",,"Plateau-Mont-Royal",1 675 $
,,"Constantinople",,"Plateau-Mont-Royal",586 $
,,"Corporation Lucie Grégoire danse",,"Plateau-Mont-Royal",1 414 $
,,"Créations Girovago",,"Plateau-Mont-Royal",663 $
,,"Dazibao, images, expositions, éditions",,"Plateau-Mont-Royal",1 648 $
,,"Diagonale, centre des arts et des fibres du Québec",,"Plateau-Mont-Royal",843 $
,,"Diagramme gestion culturelle inc.",,"Plateau-Mont-Royal",1 622 $
,,"Dulcinée Langfelder et cie",,"Plateau-Mont-Royal",522 $
,,"Ensemble contemporain de Montréal",,"Plateau-Mont-Royal",581 $
,,"Festival du nouveau cinéma de Montréal",,"Plateau-Mont-Royal",3 262 $
,,"Festival international de la littérature (FIL)",,"Plateau-Mont-Royal",626 $
,,"Festival international de musique POP Montréal",,"Plateau-Mont-Royal",1 493 $
,,"Festival international du film pour enfants de Montréal",,"Plateau-Mont-Royal",380 $
,,"Galerie & atelier la centrale électrique/Powerhouse Gallery & Studio",,"Plateau-Mont-Royal",1 784 $
,,"Galerie Fokus",,"Plateau-Mont-Royal",452 $
,,"Geordie productions inc.",,"Plateau-Mont-Royal",2 091 $
