,,"Petits Bonheurs diffusion culturelle","Petits bonheurs, le rendez-vous culturel des tout-petits - 8e édition.","15 000,00 $",,,,,,,,,,,
,,"Productions Nuits d'Afrique inc. (Les)","26e Festival international Nuits d'Afrique","35 000,00 $",,,,,,,,,,,
,,"Rencontres internationales du documentaire de Montréal","15ièmes Rencontres internationales du documentaire de Montréal (RIDM)","30 000,00 $",,,,,,,,,,,
,,"Terres en vues, Société pour la diffusion de la culture autochtone","Présence Autochtone - 22e édition.","35 000,00 $",,,,,,,,,,,
,,"Vues d'Afrique","28e Festival international de cinéma Vues d'Afrique","25 000,00 $",,,,,,,,,,,
,,"23 organismes ","Sous-Total","640 000,00 $",,,,,,,,,,,
"Soutien aux festivals et aux événements culturels -Volet 2 : Festivals et événements artistiques 
(budget de moins de 500 000 $)",,"Art Souterrain","4e Festival Art Souterrain","15 000,00 $",,,,,,,,,,,
,,"Bach-Académie de Montréal","6e Festival Bach de Montréal","10 000,00 $",,,,,,,,,,,
,,"Casteliers","Les Trois Jours de Casteliers - 7e édition.","7 500,00 $",,,,,,,,,,,
,,"Centre d'art et de diffusion Clark","Montréal - Brooklyn ","15 000,00 $",,,,,,,,,,,
,,"Centre de production et d'exposition Eastern Bloc","4e Festival Son et Vue","2 500,00 $",,,,,,,,,,,
,,"Danse Imédia / Transatlantique Montréal","10e Festival Quartiers Danses / Transatlantique Montréal","10 000,00 $",,,,,,,,,,,
,,"Diffusions gaies et lesbiennes du Québec","Image + Nation, Le Festival international de cinéma LGBT de Montréal - 25e édition.","15 000,00 $",,,,,,,,,,,
,,"Festival de théâtre de rue de Lachine (FTRL)","5e Festival de théâtre de rue de Lachine","10 000,00 $",,,,,,,,,,,
,,"Festival du Jamais Lu","11e Festival du Jamais Lu","10 000,00 $",,,,,,,,,,,
,,"Festival international du film pour enfants de Montréal (FIFEM)","15e FIFEM","15 000,00 $",,,,,,,,,,,
,,"Festival Orgue et couleurs","14e Festival d'automne Orgue et couleurs","10 000,00 $",,,,,,,,,,,
,,"L'OFF Festival de jazz de Montréal inc.","L'OFF Festival de Jazz - 13e édition.","12 500,00 $",,,,,,,,,,,
,,"Les Escales Improbables de Montréal","Les Escales improbables de Montréal - 8e édition.","12 500,00 $",,,,,,,,,,,
,,"Les Filles électriques","Phenomena - 1e édition.","12 500,00 $",,,,,,,,,,,
,,"Maison de la poésie de Montréal","13e Festival de la poésie de Montréal","12 500,00 $",,,,,,,,,,,
,,"Montréal Baroque inc.","10e Festival Montréal Baroque","15 000,00 $",,,,,,,,,,,
,,"Musique Multi-Montréal","22e Festival MMM","10 000,00 $",,,,,,,,,,,
,,"OFF.T.A.","OFFTA, édition 2012","5 000,00 $",,,,,,,,,,,
,,"Regroupement québécois de la danse (RQD)","Québec Danse - 1e édition.","10 000,00 $",,,,,,,,,,,
,,"Société des Arts Libres et Actuels","Suoni Per llL Popolo - 12 édition","15 000,00 $",,,,,,,,,,,
,,"Société pour la promotion de la danse traditionnelle québécoise (SPDTQ)","20e Festival La Grande Rencontre","12 500,00 $",,,,,,,,,,,
,,"Théâtre MainLine","22e Festival St-Amroise Fringe de Montéal","15 000,00 $",,,,,,,,,,,
,,"Toxique Trottoir","La rue Kitétonne - 3e édition.","5 000,00 $",,,,,,,,,,,
,,"Usine C","7e Festival Temps d'images","12 500,00 $",,,,,,,,,,,
,,"24 organismes","Sous-total","270 000,00 $",,,,,,,,,,,
"Soutien aux festivals et aux événements culturels
Volet 3 : Événements culturels festifs

",,"Association des festivités culturelles des Caraïbes","Carifiesta","30 000,00 $",,,,,,,,,,,20
,,"Comité de la Fête nationale de la Saint-Jean inc.","La Fête Nationale du Québec à Montréal","85 000,00 $",,,,,,,,,,,
,,"Divers/Cité Montréal 94 inc.","Divers/Cité - 20e édition","30 000,00 $",,,,,,,,,,,
,,"United Irish Societies of Montreal Inc.","Parade de la St-Patrick - 188e édition","25 000,00 $",,,,,,,,,,,
,,"4 organismes","Sous-total","170 000,00 $",,,,,,,,,,,
,,"Nom de l'organisme","Titre du projet","Montant octroyé",,,,,,,,,,,
"Soutien à la diversité des expressions culturelles  - Festivals et événements",,"Alchimie, Créations et culture","Festival du Monde arabe de Montréal –13e édition  ","15 000,00 $",,,,,,,,,,,
,,"Aréna des Arts","Lusarts 2012 - Festival de la culture luso-afro-brésilienne à Montréal
","3 000,00 $",,,,,,,,,,,
,,"Association des jeunes de la Petite-Bourgogne","Festival de la Petite-Bourgogne  ","3 000,00 $",,,,,,,,,,,
,,"Association Canado-péruvienne","Festival Péruvien 2012 - 40e Édition  ","6 000,00 $",,,,,,,,,,,
,,"Association culturelle « Playmas Montréal »","Taste of Caribbean - Un goût des caraïbes  ","2 500,00 $",,,,,,,,,,,
,,"Association culturelle haïtienne « La perle retrouvée »","La célébration notre drapeau : Fête du 18 mai ","2 000,00 $",,,,,,,,,,,
,,"Association culturelle St-Volodymyr de Montréal","Festival ukrainien de Montréal édition 2012 ","4 000,00 $",,,,,,,,,,,
,,"Casa-CAFI (Centre d'aide aux familles immigrantes)","2e Festival international du théâtre Mexique à Montréal  
","5 000,00 $",,,,,,,,,,,
,,"Comité international pour la promotion du Créole et de l'alphabétisation (kepkaa)","Mois du Créole,11e édition  ","5 000,00 $",,,,,,,,,,,
,,"Communauté Hellénique de Montréal","La flamme Hellénique Panigri Evangelimos ","10 000,00 $",,,,,,,,,,,
,,"Communauté Sépharade unifiée du Québec","Festival Sefarad de Montréal 2012  ","15 000,00 $",,,,,,,,,,,
,,"Congrès national des Italo-Canadiens, région Québec","Semaine Italienne de Montréal  ","25 000,00 $",,,,,,,,,,,
,,"Festival culturel Ibéro-latino-américain de Montréal","17e édition – Festivalissimo  ","10 000,00 $",,,,,,,,,,,
,,"Festival International de Tango de Montréal","Festival International de Tango de Montréal – 10e édition  ","4 500,00 $",,,,,,,,,,,
,,"Folklore Canada International","Spectacle Montréal International 2012 ","2 500,00 $",,,,,,,,,,,
,,"Fondation Fabienne Colas","8e Festival international du film Black de Montréal  ","12 000,00 $",,,,,,,,,,,
,,"Jeunesse en action Communauté Penuel","Festival Montréalfest  ","1 000,00 $",,,,,,,,,,,
,,"La communauté unie de juifs russophones du Québec (CUJRQ)","Festival of Arts - Festival of Light ","1 000,00 $",,,,,,,,,,,
,,"La société fantômes étrangers inc.","Festival Accès Asie  ","7 000,00 $",,,,,,,,,,,
,,"Le centre communautaire iraqien","Iraqi Village in Montreal","1 500,00 $",,,,,,,,,,,
,,"Le Levant : Regroupement des artistes peintres, sculpteurs, calligraphes et photographes originaires du Proche-Orient et du Maghreb","Gaïa notre mère terre  ","2 500,00 $",,,,,,,,,,,
,,"L'organisation des jeunes de Parc-Extension inc. (PEYO)","Parc O Fête  ","7 000,00 $",,,,,,,,,,,
,,"L'organisation Inde-Canada inc.","United day parade  ","1 000,00 $",,,,,,,,,,,
,,"Mon resto Saint-Michel","Festival des nations  ","4 000,00 $",,,,,,,,,,,
,,"Musique Multi-Montréal","Festival MMM 2012  ","3 000,00 $",,,,,,,,,,,
,,"Organisation sociale caraïbe de Montréal","Carnaval des nations ","2 000,00 $",,,,,,,,,,,
,,"Prévention Notre-Dame-de-Grâce","Festival des arts urbains Hip Hop You Don't Stop 2012  ","2 500,00 $",,,,,,,,,,,
,,"Réseau de communication pour la prévention des actes criminels","8e édition des Journées africaines  ","1 000,00 $",,,,,,,,,,,
,,"Société du patrimoine d'expression du Québec","Folklories 2012  ","4 000,00 $",,,,,,,,,,,
,,"Société montréalaise des jeux des Highlands","Montréal Highlands games and Celtfest  ","4 000,00 $",,,,,,,,,,,
,,"Théâtre de l'Esquisse","Festilou 2012  ","2 000,00 $",,,,,,,,,,,
,,"Vues d'Afrique","Urbafricania
","2 000,00 $",,,,,,,,,,,
,,"32 organismes","Sous-total","170 000,00 $",,,,,,,,,,,
,,"Nom de l'organisme","Titre du projet","Montant octroyé",,,,,,,,,,,
"Forum des équipements culturels - Soutien aux collectes de fonds","*","Groupe Le Vivier","Recherche de financement privé pour le réaménage de la bibliotèque Saint-Sulpice dans le Quartier latin","25 000,00 $",,,,,,,,,,,
,"*","Théâtre du Rideau vert ","Recherche de financement privé pour la mise à niveau de ses espaces de création et de diffusion","25 000,00 $",,,,,,,,,,,
,"*","Cirque Éloize","Recherche de financement privé pour la mise à niveau de ses espaces de création à l'ancienne gare Dalhousie dans le Vieux-Montréal ","25 000,00 $",,,,,,,,,,,
,,"3 organismes","Sous-total","75 000,00 $",,,,,,,,,,,
"Forum des équipements culturels - Soutien aux études préalables ","*","Imago Théâtre","Étude d'adéquation du PFT avec un bâtiment ","17 316,00 $",,,,,,,,,,,
,"*","L'Illusion Théâtre","Étude d'adéquation du PFT avec un bâtiment ","5 000,00 $",,,,,,,,,,,
,"*","Groupe de la Veillée","Audit technique","17 515,00 $",,,,,,,,,,,
,"*","École supérieure de ballet du Québec (ÉSBQ)","Mise à jour du Programme fonctionnel et technique ","15 650,00 $",,,,,,,,,,,
,"*","Lock-Danseurs Inc.","Étude d'adéquation du PFT avec un bâtiment ","25 000,00 $",,,,,,,,,,,
,"*","Atelier Graff inc.","PFT en vue d'un réaménagement ","14 102,00 $",,,,,,,,,,,
,"*","Centre d'art et de diffusion Clark ","PFT et étude de faisabilité ","25 000,00 $",,,,,,,,,,,
,,"7 organismes","Sous-total","119 583,00 $",,,,,,,,,,,
,,"Nom de l'organisme","Adresse (arrondissement)","Valeur estimé de la contribution",,,,,,,,,,,
"Mesure de soutien - Accès au domaine immobilier municipal ",,"Centre de céramique Bonsecours","444, rue Saint-Gabriel (Ville-Marie) ","49 981,00 $",,,,,,,,,,,
,,"Centre des arts contemporains du Québec à Montréal","4247, rue Saint-Dominique (Le Plateau Mont-Royal)  ","40 000,00 $",,,,,,,,,,,
,,"Centre des métiers du verre (Espace VERRE)","1200, rue Mill (Ville-Marie)  ","35 323,00 $",,,,,,,,,,,
,,"Centre Ressources Transitions pour Danseurs","3680, rue Jeanne-Mance - Centre Strathearn (Le Plateau Mont-Royal)","4 414,14 $",,,,,,,,,,,
,,"Culture montréal","3680, rue Jeanne-Mance - Centre Strathearn (Le Plateau Mont-Royal)","29 370,00 $",,,,,,,,,,,
,,"Danse Cité","3680, rue Jeanne-Mance - Centre Strathearn (Le Plateau Mont-Royal)","5 221,34 $",,,,,,,,,,,
,,"Département design et arts électroniques - Concordia","5300, rue Saint-Dominique - Bain Saint-Michel (Le Plateau Mont-Royal)","264,00 $",,,,,,,,,,,
,,"Diversité Artistique Montréal (DAM)","3680, rue Jeanne-Mance - Centre Strathearn (Le Plateau Mont-Royal)","14 209,80 $",,,,,,,,,,,
,,"Écomusée du fier Monde  ","2050, rue Amherst - (Ville-Marie)","29 119,00 $",,,,,,,,,,,
,,"infiniTheatre","5300, rue Saint-Dominique - Bain Saint-Michel (Le Plateau Mont-Royal)","3 410,00 $",,,,,,,,,,,
