NUM_DISTRICT,ARRONDISSEMENT,NOM_DISTRICT,NOM_BASSIN,NOM_SECTION
133,"Rosemont-La Petite-Patrie","Vieux-Rosemont","CENTRE GABRIELLE-ET-MARCEL-LAPALME-Salles  St-Jean et Legros","133-069"
131,"Rosemont-La Petite-Patrie","Saint-Édouard","ÉCOLE LA MENNAIS-Gymnase","131-029"
131,"Rosemont-La Petite-Patrie","Saint-Édouard","ÉCOLE SAINT-ARSÈNE-Gymnase","131-017"
131,"Rosemont-La Petite-Patrie","Saint-Édouard","ÉCOLE SAINT-AMBROISE-Gymnase","131-024"
131,"Rosemont-La Petite-Patrie","Saint-Édouard","ÉCOLE PÈRE-MARQUETTE-Gymnase 2","131-060"
131,"Rosemont-La Petite-Patrie","Saint-Édouard","ÉCOLE PÈRE-MARQUETTE-Gymnase 2","131-054"
131,"Rosemont-La Petite-Patrie","Saint-Édouard","ÉCOLE PÈRE-MARQUETTE-Gymnase 1","131-062"
131,"Rosemont-La Petite-Patrie","Saint-Édouard","ÉCOLE LA PETITE-PATRIE - PAVILLON NOTRE-DAME-DE-LA-DÉFENSE-Gymnase","131-015"
132,"Rosemont-La Petite-Patrie","Étienne-Desmarteau","CENTRE ÉTIENNE-DESMARTEAU-Gymnase 1","132-064"
131,"Rosemont-La Petite-Patrie","Saint-Édouard","ÉGLISE SAINT-AMBROISE-Salle paroissiale - sous-sol","131-053"
