NAC,Nom_collection,AR,TI,DFP,MED,MA,SUP,TF,Tirage,Hauteur,Hauteur_exterieur,Largeur,Largeur_exterieur,Profondeur,Profondeur_exterieur,Diametre_exterieur
"cdi.2011.001.11","Collection didactique","Connolly, Reynald","La mission du petit Bill","1976","encre ","","vélin","sérigraphie","b.g. : 20/75","51","","40.5","","","",""
"cdo.2007.002.1-25","Collection documentaire","","Sentier art 3","","","","","","","","","","","","",""
"cdo.2007.002.13","Collection documentaire","Dulude, Marc","Non titré","2011","encre","","papier","","","72.7","","102.5","","","",""
"p.2003.001.1-8","Collection de prêt","Aird-Bélanger, Jocelyne","Série d'estampe","","","","","","","","","","","","",""
"p.2004.013.1-19","Collection de prêt","","Série d'estampe","","","","","","","","","","","","",""
"p.2005.011.1-7","Collection de prêt","Derouin, René","Série Triptyque Mexico","","","","","","","","","","","","",""
"p.2006.011.1-49","Collection de prêt","Beaulieu, Paul-Vanier","Série d'estampe","","","","","","","","","","","","",""
"p.2007.003.1-36","Collection de prêt","","Série d'estampe ","","","","","","","","","","","","",""
"p.2014.001","Collection de prêt","Bruneau, Kittie","Sans titre (chandail)","1988","acrylique; fourrure; plume","","toile","","","91","","152","","","",""
"p.2014.002","Collection de prêt","Bruneau, Kittie","Patch Head","2005","acrylique; cuir; perle; papier; branche; feuille séchée","","toile","","","183","","152","","","",""
"p.2014.003","Collection de prêt","Bruneau, Kittie","Rapiéçage aux croissants de lune","2010","acrylique; cuir","","toile","","","213","","152","","","",""
"p.2014.004","Collection de prêt","Bruneau, Kittie","Automne tardif","2004","acrylique; cuir; fourrure","","toile","","","244","","152","","","",""
"p.2014.005","Collection de prêt","Connolly, Reynald","Truisme","2000","acrylique","","toile","","","204","","152","","","",""
"2014.001","Collection permanente","Connolly, Reynald ","Copie no.2","2004","acrylique; vernis époxy","","toile marouflée sur paneau de bois","","","38.5","","38.5","","3.5","",""
"cdi.2014.001","Collection didactique","Laframboise, Alain","Cher corps","1986","","bois, contre-plaqué; plastique, acrylique; carton; papier","","","","","","","","","",""
"cdi.2014.002","Collection didactique","Goguen, Jean","Sans titre","","acrylique","","toile","","","","","","","","","107"
"cdi.2014.003","Collection didactique","Goguen, Jean","Sans titre","","acrylique","","toile","","","","","","","","","107"
"cdi.2014.004","Collection didactique","Goguen, Jean","Sans titre ","","acrylique","","toile","","","","","","","","","107"
"cdi.2014.005","Collection didactique","Goguen, Jean","Sans titre","","acrylique","","toile","","","","","","","","","107"
"2014.002","Collection permanente","Goguen, Jean","Sans titre","1955","teinture","","papier","","","66","78.5","101.5","115","","3.5",""
"2014.003","Collection permanente","Goguen, Jean","Sans titre","1955","teinture","","papier","","","66","78.5","101.5","115","","3.5",""
"2014.004","Collection permanente","Goguen, Jean","Sans titre","1957","teinture","","papier","","","66","","101.5","","","",""
"2014.005","Collection permanente","Goguen, Jean","Sans titre","1957","teinture","","papier","","","101.5","","66","","","",""
"2014.006","Collection permanente","Ladouceur, Éric","Le règne animal (Lacoste)","2005","poil pubien","","papier cartoné","","","92.5","","123","","3","",""
"a.2014.001","Archives","Montpetit, Guy","Triptyques","1972","encre","","papier","sérigraphie","27/50","48","","74","","","",""
"2014.007","Collection permanente","Pellan, Alfred","Olivia","1971","encre","","papier","sérigraphie","III/X","66","","51","","","",""
"2014.008","Collection permanente","Pellan, Alfred","Sire André","1971","encre","","papier","","7/100","66","81.5","51","66","","1.7",""
"2014.009","Collection permanente","Pellan, Alfred","Sire Tobie Belch","1971","encre","","papier","sérigraphie","7/100","66","78.8","51","63.5","","2",""
"2014.010","Collection permanente","Pellan, Alfred","Soldat","1971","encre","","papier","sérigraphie","20/100","66","82","51","66","","2",""
"2014.011","Collection permanente","Pellan, Alfred","La rue","1971","encre","","papier","sérigraphie","HC 2/5","66","","102","","","",""
"2014.012","Collection permanente","Pellan, Alfred","Éléments","1968","encre","","papier","sérigraphie","III/X","","81","","62","","1.5",""
"p.2014.006.1-7","Collection de prêt","Bruneau, Kittie","Mémoire animale","1969","encre","carton, fibre","papier","eau-forte","5/75","52","","35","","1.8","",""
"p.2014.007","Collection de prêt","Bruneau, Kittie","Cabri-o","1973","encre","","papier","","46/50","56","","76","","","",""
"cdi.2014.006","Collection didactique","Bruneau, Kittie","Ciné-oiseaux","1977","encre","","papier","eau-forte","10/75","75.5","","56","","","",""
"cdi.2014.007","Collection didactique","Bruneau, Kittie","La gougou","1966","encre","","papier","eau-forte","48/75","65.6","","50","","","",""
"cdi.2014.008","Collection didactique","Bruneau, Kittie","Beurre de peanut","1975","encre","","papier","sérigraphie","10/100","66","","51","","","",""
"cdi.2014.009","Collection didactique","Bruneau, Kittie","Mouettes s'envolant","1973","encre","","papier","eau-forte","2/50","43","","90.4","","","",""
"p.2011.005","Collection de prêt","chaumont, Pierre","I love Pills","2010","encre","","papier","","","35","","43","","","",""
"2015.001","Collection permanente","Brunet, Claire","Simulacre","1996","encre; bronze","","toile photographique","","","180","","114","","","",""
"2015.002","Collection permanente","Vazan, Bill","Luxor Temple Quadrant","1984","encre","","papier argentique","","","40.6","","50.8","","","",""
"2015.003","Collection permanente","Derouin, René","Suite nordique","1979","encre","","papier","gravure sur bois","","140","","38","","","",""
"cdo.2015.001","Collection documentaire","Derouin, René","Fleuve-mémoire 12 mai 1994, Saint-Jean, Île d'Orléans","1994","encre","","papier","photographie; photogravure","","48","","31","","","",""
"p.2015.001","Collection de prêt","Derouin, René","Retour de la migration 3","1996","encre","","papier","gravure sur bois","","57","","71","","","",""
"p.2015.002","Collection de prêt","Derouin, René","Retour de la migration 12","1996","encre","","papier","gravure sur bois ","","57","","71","","","",""
"cdo.2015.002","Collection documentaire","Derouin, René","Personnage de migration","1992","","céramique","","","","14","","6.5","","4.5","",""
"2015.004","Collection permanente","Derouin, René","Between-Paraiso I0-3","1998","encre","","papier","gravure sur bois","","76","","56","","","",""
"2015.005","Collection permanente","Derouin, René","Between-Paraiso 11-1","1996","encre","","papier","gravure sur bois","","76","","56","","","",""
"p.2015.003","Collection de prêt","Derouin, René","Pêche miraculeuse II","2002","encre","","papier","gravure sur bois","","35.5","","35.5","","","",""
"2015.006","Collection permanente","Fournelle, André","Je n'absurde ni la vie ni la mort. J'absurde l'homme","1985","","néon; plastique, plexiglas; fil électrique","","","","157","","122","","10.5","",""
"2015.007","Collection permanente","Tremblay, Ève.K","Clair obscur dans l'atelier de mon père #11 (monument château bleu)","2013","encre","","papier","","1/5","61","","86.5","","","",""
"2015.008","Collection permanente","Tremblay, Alain-Marie","Château-radio ","1990","","bétonique","","","","18.5","","18.5","","","",""
"p.2015.004","Collection de prêt","Caron-Lefebvre, Philippe","Sceau du Musée d'art contemporain des Laurentides ","2012","","vis; bois, composé","","","","","","","","","",""
"p.2015.005","Collection de prêt","Leblanc, Pierre","Hommage à Matthias Grünewald et Keith Haring","2011","","métal, aluminium; métal, acier","","découpé, à l'eau; bleui","","335","","426","","91","",""
"cdo.2013.002","Collection documentaire","Péloquin, Claude","Lindbergh","","encre","","papier","","","","","","","","","54"
"cdi.2011.001.4","Collection didactique","Connolly, Reynald","Qui a volé les tartes?","1976","encre","","vélin","sérigraphie","b.g. : 20/75","51","","40.5","","","",""
"cdi.2011.001.14","Collection didactique","Connolly, Reynald","sans titre","1976","encre","","vélin","sérigraphie","b.g. : 20/75","51","","40.5","","","",""
"cdi.2011.001.15","Collection didactique","Connolly, Reynald","Sans titre","1976","encre","","papier","sérigraphie","b.g. : 20/75","51","","40.5","","","",""
"2016.001","Collection permanente","Brouillard, Matthieu","Sans titre 4, de la série Les enfants de la symétrie brisée","2010","encre","","propylène","diapositive couleur 10 x 12 cm numérisée, convertie en noir et blanc et imprimée avec imprimante à jet d'encre Canon image PROGRAF iPF9000","3/12","150","","119","","","",""
"2016.002","Collection permanente","Boisvert, Gilles","Sans titre","1979","crayon de couleur","","papier Arche","dessin; décalque","","51","","67","","","",""
"p.2016.001","Collection de prêt","Hurtubise, Jacques ","Cayouve","1974","encre","","papier","sérigraphie","63/75","","83.5","","98.5","","4",""
"p.2016.002","Collection de prêt","Laframboise, Alain","Visions domestiques no.11","1997","encre","","papier","photographie","","","21","","33","","4",""
"p.2016.003","Collection de prêt","Boisvert, Gilles","Dans le cockpit","1977","encre","","papier","lithographie","24/25","76","","56","","","",""
"p.2016.005","Collection de prêt","Montpetit, Guy","Mêles-toi de tout ce qui te regardes","1974","encre","","papier","sérigrahie","21/70","72.5","","50.2","","","",""
"p.2016.004","Collection de prêt","Boisvert, Gilles","Des vagues, des vagues","1976","encre","","papier","sérigraphie","3/25","50","","74","","","",""
"p.2016.006","Collection de prêt","Paul, Dominique","Méduse en hibernation, série Migration des Anthropodes","2012","encre ","","papier","","1/6","101.6","","144","","","",""
"cdi.2016.001","Collection didactique","Goguen, Jean","Sans titre","c.1955","acrylique; encre","","papier","","","63.6","","97","","","",""
"cdi.2016.002","Collection didactique","Lemoyne, Serge","Le no.10","1978","encre","","papier","sérigraphie","52/80","18","","26.7","","","",""
"cdi.2016.003","Collection didactique","Tremblay, Michel-Thomas","U.F.O","1976","encre","","papier","eau-forte","E/A","75.2","","55.5","","","",""
"b.2011.001","Banque de location d'oeuvres d'art des Laurentides","Goulet, Marylise","La brouette de survie","2007","encre","","papier","gravure, eau-forte, relief","","66","","51","","","",""
"b.2011.002","Banque de location d'oeuvres d'art des Laurentides","Goulet, Marylise","Qui va à la chasse perd sa place","2009","encre","","papier","gravure, eau-forte, relief","","76","","56","","","",""
"b.2011.003","Banque de location d'oeuvres d'art des Laurentides","Goulet, Marylise","Le petit train du Nord","2009","encre","","papier","gravure, eau-forte, relief","","76","","56","","","",""
"b.2011.004","Banque de location d'oeuvres d'art des Laurentides","Laplante, Jeanne Mance ","Migrations 1","2011","encre","","papier","gravure, manière noire","monotype","54","","38","","","",""
"b.2011.005","Banque de location d'oeuvres d'art des Laurentides","Laplante, Jeanne Mance","Migration III","2011","encre","","papier","gravure, manière noire","monotype","54","","38","","","",""
"b.2011.006","Banque de location d'oeuvres d'art des Laurentides","La Rue, Jean","Sans titre (brun)","2009","acrylique, carton ondulé","","toile","peint, collé","","152.4","","101.6","","","",""
"b.2011.007","Banque de location d'oeuvres d'art des Laurentides","La Rue, Jean","Sans titre (turquoise)","2009","acrylique, carton ondulé","","toile","peint, collé","","152.4","","101.6","","","",""
"b.2011.008","Banque de location d'oeuvres d'art des Laurentides","La Rue, Jean","Sans titre (noir)","2009","acrylique, carton ondulé","","toile","peint, collé","","152.4","","101.6","","","",""
"b.2011.009","Banque de location d'oeuvres d'art des Laurentides","Leblanc, Pierre","Hommage à Hurtubise","2009","","aluminium","","brossé, découpé à l'eau","2/5","92","","101.5","","5","",""
"b.2011.010","Banque de location d'oeuvres d'art des Laurentides","Levasseur, Valérie","La valeur du ruisseau 004","2008","photographie numérique","","papier","","1/4","56","","68.8","","","",""
"b.2011.011","Banque de location d'oeuvres d'art des Laurentides","Peter, Jessica","532, Meikle","2011","acrylique, latex","","toile","","","61","","91.4","","","",""
"b.2011.012","Banque de location d'oeuvres d'art des Laurentides","Roland, Benoît","Egarum ","2009","pastel sec, encre","","papier","","","25.4","","20.3","","","",""
"b.2011.013","Banque de location d'oeuvres d'art des Laurentides","Radu, Joshua","Réflexion sur verre I","2009","encre","","papier","","","50.8","","61","","","",""
"b.2014.014","Banque de location d'oeuvres d'art des Laurentides","Lafrance, Suzanne","Tête blanche","2007","fusain","","papier","","","65","","50","","","",""
"b.2011.015","Banque de location d'oeuvres d'art des Laurentides","Lafrance, Suzanne","Infants (n-né III)","2009","fusain","","papier","","","65","","50","","","",""
"b.2012.001","Banque de location d'oeuvres d'art des Laurentides","Raymond, Ianick","Faux-pas","2007","encre","","papier","","","16.5","","25.5","","","",""
"b.2012.002","Banque de location d'oeuvres d'art des Laurentides","Laplante, Jeanne Mance","Couffin sourcière","2012","encre","","papier","manière noire rehaussée au pastel","monotype","54","","38","","","",""
"b.2013.001","Banque de location d'oeuvres d'art des Laurentides","Simonin, Francine","Catalanes 2","2000","encre","","papier","Pointe-sèche, carborundum, chine collé","2/30","65","","55","","","",""
"b.2013.002","Banque de location d'oeuvres d'art des Laurentides","Simonin, Francine","Catalanes 8","2000","encre","","papier","pointe-sèche, carborundum, chine collé","3/30","65","","55","","","",""
"b.2013.003","Banque de location d'oeuvres d'art des Laurentides","Bloom, Louise","New Cherries","2005","encre","","papier japonais","collographie, collage","1/1 monotype","67.5","","64.5","","","",""
"b.2013.004","Banque de location d'oeuvres d'art des Laurentides","Dufour, Evelyne","sans titre","","encre","","papier","","","","","","","","",""
"b.2013.005","Banque de location d'oeuvres d'art des Laurentides","Verret, Angèle","Sans titre","1995","encre","","toile","peint, gravé au Dremel","","121","","121","","","",""
"b.2013.006","Banque de location d'oeuvres d'art des Laurentides","Vaillancourt, Armand","La tour de Pise","2002","encre","","papier","","22/30","45.5","","43","","","",""
"b.2013.007","Banque de location d'oeuvres d'art des Laurentides","Farish, Catherine","After Salisbury no.1","1993","encre","","papier","collographie","","76","","56","","","",""
"b.2013.008","Banque de location d'oeuvres d'art des Laurentides","Farish, Catherine","After Salisbury Plains no.2","1993","encre","","papier","collographie","","76","","56","","","",""
"b.2013.009","Banque de location d'oeuvres d'art des Laurentides","Pelletier, Louis","Pablum","","encre","","papier","manière noire","","20.2","","16","","","",""
"b.2013.010","Banque de location d'oeuvres d'art des Laurentides","Bougie, Louis-Pierre","Sans titre","1991","encre","","papier","","","75.7","","60","","","",""
"b.2013.011","Banque de location d'oeuvres d'art des Laurentides","Bougie, Louis-Pierre","Paris, Janvier 1988","","encre","","papier","","","108","","87","","","",""
"b.2013.012","Banque de location d'oeuvres d'art des Laurentides","Bougie, Louis-Pierre","Bâton blanc","1998","encre","","papier","","1/30","","43","","32.2","","1",""
"b.2013.013","Banque de location d'oeuvres d'art des Laurentides","Bougie, Louis-Pierre","Sans titre","1998","encre","","papier","","","","","","","","",""
"b.2013.014","Banque de location d'oeuvres d'art des Laurentides","Bougie, Louis-Pierre","Sans titre","1998","encre","","papier","","E/A","","","","","","",""
"b.2013.015","Banque de location d'oeuvres d'art des Laurentides","Bougie, Louis-Pierre","Inconnu","1997","encre","","papier","","1/30","","","","","","",""
"b.2013.016","Banque de location d'oeuvres d'art des Laurentides","Bougie, Louis-Pierre","Sans titre","1999","encre","","papier","","8/50","","","","","","",""
"b.2013.017","Banque de location d'oeuvres d'art des Laurentides","Bougie, Louis-Pierre","Sans titre (rose)","2001","encre","","papier","","","","","","","","",""
"b.2013.018","Banque de location d'oeuvres d'art des Laurentides","Bougie, Louis-Pierre","Tapei","1998","encre","","papier","","E/A","","","","","","",""
"b.2013.019","Banque de location d'oeuvres d'art des Laurentides","Bougie, Louis-Pierre","L'échelle social","1990","encre","","papier","","17/50","","","","","","",""
"b.2013.020","Banque de location d'oeuvres d'art des Laurentides","Bougie, Louis-Pierre","Sans titre","","encre","","papier","","1/1","123.5","","103","","4.5","",""
"b.2013.021","Banque de location d'oeuvres d'art des Laurentides","Bougie, Louis-Pierre","Sans titre","","encre","","papier","","","132","","110","","","",""
"b.2013.022","Banque de location d'oeuvres d'art des Laurentides","Beaucage, Michel","La patineuse","1992","encre","","papier","gravure au carborundum ","1/5","78.5","","61.7","","","",""
"b.2013.023","Banque de location d'oeuvres d'art des Laurentides","Beaucage, Michel","Petites pierres","1993","encre","","papier","","","96","","96","","","",""
"b.2013.024","Banque de location d'oeuvres d'art des Laurentides","Derouin, René","El Tempio libre","1989","encre, pastel","","papier","gravure sur bois, rehaussée","EA I/III","76","","56","","","",""
"b.2013.025","Banque de location d'oeuvres d'art des Laurentides","Laquerre, Dominique","L'eau","1991","","Fusain, sanguine, acrylique ","placoplâtre, papier Sagame, toile de coton écru","marouflé","","64","","80","","","",""
"b.2013.026","Banque de location d'oeuvres d'art des Laurentides","Laquerre, Dominique","Sans titre","1992","","Fusain, sanguine, acrylique, goudron, peinture à l'huile","papier Sagame, toile de coton écru, plexiglass","marouflé","","30.5","","61","","","",""
"b.2013.027","Banque de location d'oeuvres d'art des Laurentides","Comtois, Louis","Sans titre","1970","encre","","papier","sérigraphie","","60","","81","","","",""
"b.2014.001","Banque de location d'oeuvres d'art des Laurentides","Goodwin, Betty","Notebook '87","1999","encre","","papier","lithographie","33/100","56","","76.3","","","",""
"b.2014.002","Banque de location d'oeuvres d'art des Laurentides","Krauss, Peter","Le chant de la terre","2004","encre","","papier","","16/50","61.5","","77","","","",""
"b.2014.003","Banque de location d'oeuvres d'art des Laurentides","Leduc, Fernand","SG-1","1972","encre","","papier","sérigraphie ","21/100","97","","58","","","",""
"b.2014.004","Banque de location d'oeuvres d'art des Laurentides","Leduc, Fernand","SG-3","1972","encre","","papier","sérigraphie","21/100","97","","58","","","",""
"b.2014.005","Banque de location d'oeuvres d'art des Laurentides","Leduc, Fernand","SG-4","1972","encre","","papier","sérigraphie","","97","","58","","","",""
"b.2014.006","Banque de location d'oeuvres d'art des Laurentides","Bruneau, Kittie","Sans titre","2010","","acrylique, plume, perle, encre, suède, cuir","toile","","","61","","91","","","",""
"b.2014.007.1-9","Banque de location d'oeuvres d'art des Laurentides","Mclaren, Norman","Mutation","1975","encre","","papier","sérigraphie","","","","","","","",""
"b.2014.008.1-8","Banque de location d'oeuvres d'art des Laurentides","Mclaren, Norman","Interplay","1971","encre","","papier","sérigraphie","","","","","","","",""
"b.2014.009","Banque de location d'oeuvres d'art des Laurentides","Mclaren, Norman","Labyrinthe","1974","encre","","papier","sérigraphie","HC 5/5","66","","66.2","","","",""
"b.2014.010","Banque de location d'oeuvres d'art des Laurentides","Mclaren, Norman","Labyrinthe II","1975","encre","","papier","sérigraphie","38/75","66.5","","66.2","","","",""
"b.2014.011","Banque de location d'oeuvres d'art des Laurentides","Mclaren, Norman","Winter Birds","1975","","","","","","66","","66.5","","","",""
"b.2014.012","Banque de location d'oeuvres d'art des Laurentides","Dumontier, Jean-Marcel","Margueriteville","2009","peinture industrielle, goudron, encre de chine, vernis époxy","","panneaux de bois","","","121.4","","305.5","","","",""
"b.2015.001","Banque de location d'oeuvres d'art des Laurentides","Guérin, Claude","Saint-Placide 1, Lac des Deux-Montagnes","2011","encre","","papier","impression numérique","","66","","83.7","","","",""
"b.2015.002","Banque de location d'oeuvres d'art des Laurentides","Bariteau, Louise","Kiamika","2010","encre","","papier","eau-forte, gauffrage","E/A","56","","90","","","",""
"b.2015.003","Banque de location d'oeuvres d'art des Laurentides","Vermette, Claude","Sans titre","1992","acrylique","","toile","","","256.54","","144.78","","","",""
"b.2016.001","Banque de location d'oeuvres d'art des Laurentides","Garneau, Marc","Je pense au navire","2001-2002","","","papier","","","61","","46","","","",""
"b.2016.002","Banque de location d'oeuvres d'art des Laurentides","Vazan, Bill ","Sans titre","1978","encre","","papier","","","40","","50","","","",""
"b.2016.003","Banque de location d'oeuvres d'art des Laurentides","Vincent, François","Pensée percée","2006","encre","","papier","eau-forte","22/50","51","","66","","","",""
"b.2013.028","Banque de location d'oeuvres d'art des Laurentides","Beaucage, Michel","","","","","","","","","","","","","",""
"b.2013.029","Banque de location d'oeuvres d'art des Laurentides","Beaucage, Michel","","","","","","","","","","","","","",""
"b.2013.030","Banque de location d'oeuvres d'art des Laurentides","Beaucage, Michel","","","","","","","","","","","","","",""
"b.2018.001","Banque de location d'oeuvres d'art des Laurentides","Gaucher, Yves","21-IX-66","1966","encre","","papier","sérigraphie","22/100","50.7","","65.3","","","",""
"b.2018.002.1","Banque de location d'oeuvres d'art des Laurentides","Goulet, Michel","Le beau côté 1","2004","encre","","papier","sérigraphie","EA II/III","47","","32","","","",""
"b.2018.002.2","Banque de location d'oeuvres d'art des Laurentides","Goulet, Michel","Le beau côté 2","2004","encre","","papier","sérigraphie","EA II/III","47","","32","","","",""
"b.2018.002.3","Banque de location d'oeuvres d'art des Laurentides","Goulet, Michel","Le beau côté 3","2004","encre","","papier","sérigraphie","EA II/III","47","","32","","","",""
"b.2018.002.4","Banque de location d'oeuvres d'art des Laurentides","Goulet, Michel","Le beau côté 4","2004","encre","","papier","","EA II/III","47","","32","","","",""
"b.2018.003","Banque de location d'oeuvres d'art des Laurentides","Riopelle, Jean Paul","Affiche avant la lettre no106","1968","encre","","papier","lithgraphie couleur","édition de 75","72","","46","","","",""
"b.2018.004","Banque de location d'oeuvres d'art des Laurentides","Vermette, Claude","Dynamique","1983","acrylique","","papier marouflé sur toile de lin","","","216","","304","","","",""
"b.2018.005","Banque de location d'oeuvres d'art des Laurentides","Descôteaux, Annie","Bic","2015","papier","","papier","collage","","","52","","42","","",""
"b.2018.006","Banque de location d'oeuvres d'art des Laurentides","Tremblay, Eve.K","Feuillage et ruine bétonique d'Alain-Marie Tremblay","2014","gélatine argentique","","papier","épreuve à la gélatine argentique","2/5","28","","35","","","",""
"b.2018.007","Banque de location d'oeuvres d'art des Laurentides","Chalifour, François","Petites panathanées","2017","vernis à la cire sur tempera, gesso","","bois; panneau de merisier","","","51","","51","","","",""
"b.2018.008","Banque de location d'oeuvres d'art des Laurentides","Adjutor-Provost, Guillaume","Diary_04","2018","acétone, pigment","","papier","monotype","","75","","50","","","",""
"b.2018.009","Banque de location d'oeuvres d'art des Laurentides","Henricks, Nelson","Flower Painting I","2016","encre","","polypropylène","impression jet d'encre sur polypropylène","3/5","","71.12","","55.88","","",""
"b.2019.001","Banque de location d'oeuvres d'art des Laurentides","Pocreau, Yann","Conduction","2015","encre","","papier","Épreuve numérique","1/5","","69","","102","","",""
"b.2019.002","Banque de location d'oeuvres d'art des Laurentides","Pocreau, Yannn","Replis","2016","encre","","papier","épreuve numérique","1/3","","78","","102","","",""
"b.2019.003","Banque de location d'oeuvres d'art des Laurentides","Gaudet, Mathieu","Pa(i)sage noir #695","2018","gesso","bois; peuplier","","","","6","","5","","","",""
"b.2019.004","Banque de location d'oeuvres d'art des Laurentides","Lefort, Jennifer","Parity","2018","huile, peinture aérosol","","toile","","","122","","122","","","",""
