Circonscriptions,Anglophones_1991,Francophones_1991,Allophones_1991,Anglophones_1996,Francophones_1996,Allophones_1996,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_quebecois,Action_democratique_du_quebec,Autres_independants_01,Autres_independants_02,Autres_independants_03,Autres_independants_04,Autres_independants_05,Autres_independants_06,Autres_independants_07,Autres_nouveau_parti_democratique,Autres_parti_de_la_loi_naturelle,Autres_equality_party,Autres_parti_de_la_souverainete_du_quebec,Autres_parti_vert,Autres_parti_citron,Autres_canada,Autres_parti_pour_la_republique_du_canada,Autres_developpement_quebec,Autres_parti_economique,Autres_parti_innovateur,Autres_parti_marxiste-leniniste,Autres_parti_communiste
Lévis,423,49237,185,386,50004,185,36866,30270,1211,29059,6596,8061,20998,,,,,,,,,,,,,,,,,,,,,
Limoilou,696,67709,1165,662,62788,1450,43877,34732,753,33979,9145,10608,15092,4066,1759,555,424,,,,,938,,,,,356,,,88,,,93,
Lotbinière,418,40002,220,374,39501,225,28906,23379,558,22821,5527,10115,10398,,2308,,,,,,,,,,,,,,,,,,,
Louis-Hébert,1673,50517,1930,1499,48921,3375,38649,33183,405,32778,5466,7833,12905,1868,9464,169,,,,,,415,124,,,,,,,,,,,
Marguerite-Bourgeoys,18643,27597,13445,17115,25655,14835,40182,34584,398,34186,5598,24046,7850,1200,,,,,,,,392,226,472,,,,,,,,,,
Marguerite-d'Youville,1284,51991,1155,1355,55815,1350,41008,35741,1281,34460,5267,13089,19995,,,,,,,,,,554,,,822,,,,,,,,
Marie-Victorin,2014,52426,4535,1709,49081,4985,40023,32154,814,31340,7869,10221,17611,2749,383,,,,,,,,376,,,,,,,,,,,
Marquette,13560,34825,6010,13068,32852,6750,36992,30916,450,30466,6076,16774,11046,1449,342,207,24,,,,,,164,301,159,,,,,,,,,
Maskinongé,483,54712,315,677,56953,565,42095,34399,656,33743,7696,13128,16047,4261,,,,,,,,,307,,,,,,,,,,,
Masson,1424,53381,980,1607,62173,1080,41397,34239,773,33466,7158,6991,21481,4388,351,,,,,,,,255,,,,,,,,,,,
Matane,268,38407,80,210,37095,55,28055,21589,299,21290,6466,7395,11625,2270,,,,,,,,,,,,,,,,,,,,
Matapédia,210,41990,65,162,41188,85,29857,22750,817,21933,7107,9107,12826,,,,,,,,,,,,,,,,,,,,,
Mégantic-Compton,3226,38884,160,3359,39306,205,29896,24225,500,23725,5671,12799,10051,,,,,,,,,,444,431,,,,,,,,,,
Mercier,4856,43889,11695,4715,43425,10905,39636,31841,815,31026,7795,9479,17523,1681,,,,,,,,815,259,,,865,,,173,,,,102,129
Mille-Îles,2017,56768,6280,2156,56169,7400,44549,38699,742,37957,5850,15966,17337,4182,,,,,,,,,295,,,,,,,,,177,,
