"No structure","IDE_STRCT","Groupe","Statut","Type structure","Charg. conception","Affichage sur place","Responsablilté de gestion","Centre de services","Role VM Inspection","Année de construction","Nom route","Nom obstacle","ICG","Catégorie ICG","Date Insp. Générale Fermee","Superficie du tablier","Superficie du mur","Longitude","Latitude","X","Y","lien_vers_rapport"
"81-03210A",6100266,,"Actif Ville de Montréal","Pont à  béquilles, béton armé","99-Inconnu","Aucun affichage","Ville de Montréal - MTQ","15 - Arrondissement Saint-Laurent","Inspections annuelle et générale par la Ville Montréal",1966,"Chemin de la Côte-de-Liesse, direction Est","Autoroute 13, direction Nord",99.41,4,"2020-11-24",975,,-73.7078231214072,45.4734238100596,288550.933,5037076.25,"Non disponible"
"81-03210B",202454,,"Actif Ville de Montréal","Pont à  béquilles, béton armé","99-Inconnu","Aucun affichage","Ville Montréal - MTQ - Municipalité","15 - Arrondissement Saint-Laurent","Inspections annuelle et générale par la Ville Montréal",1966,"Chemin de la Côte-de-Liesse, direction Ouest","Autoroute 13, direction Nord",75,4,"2020-11-24",975,,-73.7081775521331,45.4735898413985,288523.2689,5037094.773,"Non disponible"
"81-03218",202266,,"Actif Ville de Montréal","Pont à  pout. béton précont., préfabr.","18-CL625","Aucun affichage","Ville de Montréal - MTQ","17 - Arrondissement Lachine","Inspections annuelle et générale par la Ville Montréal",1966,"1re avenue  ","autoroute 20 Ouest",99.82,4,"2020-11-04",562,,-73.6636914730483,45.4444450581248,291994.8965,5033847.877,"Non disponible"
"81-03221",202542,,"Actif Ville de Montréal","Pont à  poutres en béton armé","14-H25-S20","Aucun affichage","Ville de Montréal - MTQ","15 - Arrondissement Saint-Laurent","Inspections annuelle et générale par la Ville Montréal",1975,"rue Hickmore ","autoroute 13 ",99.96,4,"2019-10-08",777,,-73.6989949211563,45.4678868504089,289239.6599,5036459.182,"Non disponible"
"81-03232A",6011776,"P.S. Ch. de la Côte-de-Liesse / Stinson, CN et Canora","Actif Ville de Montréal","Pont à  dalle évidée en béton armé","99-Inconnu","Aucun affichage","Ville de Montréal","15 - Arrondissement Saint-Laurent","Inspections annuelle et générale par la Ville Montréal",1960,"Chemin de la Côte-de-Liesse Dir. Ouest","Stationnement à  l'Est du chemin Canora",69.33,3,"2020-11-09",1258,,-73.6549662065135,45.5204387897217,292693.7352,5042291.715,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-03232A_inspection_generale_web.pdf"
"81-03232B",6011780,"P.S. Ch. de la Côte-de-Liesse / Stinson, CN et Canora","Actif Ville de Montréal","Pont à  dalle évidée en béton armé","99-Inconnu","Aucun affichage","Ville de Montréal","15 - Arrondissement Saint-Laurent","Inspections annuelle et générale par la Ville Montréal",1960,"Chemin de la Côte-de-Liesse Dir. Ouest","Rue Stinson ",72.34,3,"2018-06-04",952,,-73.6555517347469,45.5195095646924,292647.7926,5042188.537,"https://depot.ville.montreal.qc.ca/pontsettunnels/2018/81-03232B_inspection_generale_web.pdf"
"81-03233",202136,,"Actif Ville de Montréal","Pont à  pout. béton précont., préfabr.","99-Inconnu","Aucun affichage","Ville de Montréal - MTQ","15 - Arrondissement Saint-Laurent","Inspections annuelle et générale par la Ville Montréal",1965,"boulevard Cavendish ","Autoroute 40 Est",99.99,4,"2021-11-10",5616,,-73.6962425849378,45.49293281362,289461.6752,5039242.012,"Non disponible"
"81-03234A",202118,"P.S. Boul. Côte-Vertu / Aut. 40","Actif Ville de Montréal","Pont à  dalle évidée en béton armé","99-Inconnu","Aucun affichage","Ville de Montréal - MTQ","15 - Arrondissement Saint-Laurent","Inspections annuelle et générale par la Ville Montréal",1961,"boulevard de la Côte-Vertu ","Autoroute 40 Est",100,4,"2018-11-28",2234,,-73.7138203264013,45.4887395388961,288086.5585,5038779.518,"Non disponible"
"81-03234B",202119,"P.S. Boul. Côte-Vertu / Aut. 40","Actif Ville de Montréal","Pont à  dalle évidée en béton armé","99-Inconnu","Aucun affichage","Ville de Montréal - MTQ","15 - Arrondissement Saint-Laurent","Inspections annuelle et générale par la Ville Montréal",1961,"Boulevard de la Côte-Vertu ","Route Transcanadienne Ouest",99.52,4,"2018-11-28",400,,-73.7142521415942,45.4894464936374,288053.0148,5038858.172,"Non disponible"
"81-03235A",202120,"P.S. Boul. Côte-Vertu / Aut. 40","Actif Ville de Montréal","Pont à  dalle évidée en béton armé","99-Inconnu","Aucun affichage","Ville de Montréal - MTQ","15 - Arrondissement Saint-Laurent","Inspections annuelle et générale par la Ville Montréal",1961,"Boulevard de la Côte-Vertu ","Autoroute 40 Est",100,4,"2018-11-28",2620,,-73.7158583569156,45.4891585242213,287927.3793,5038826.506,"Non disponible"
"81-03235B",202121,"P.S. Boul. Côte-Vertu / Aut. 40","Actif Ville de Montréal","Pont à  dalle évidée en béton armé","99-Inconnu","Aucun affichage","Ville de Montréal - MTQ","15 - Arrondissement Saint-Laurent","Inspections annuelle et générale par la Ville Montréal",1961,"Racc. Côte-vertu O / V. Service A-40 E","Racc. V. Service A-40 E / Côte-vertu E ",100,4,"2018-11-28",405,,-73.7151832355215,45.4884578398929,287979.9417,5038748.497,"Non disponible"
"81-03236",202232,,"Actif Ville de Montréal","Pont à  pout. béton précont., préfabr.","99-Inconnu","Aucun affichage","Ville de Montréal - MTQ","15 - Arrondissement Saint-Laurent","Inspections annuelle et générale par la Ville Montréal",1977,"rue Halpern ","route Transcanadienne ",99.98,4,"2020-11-24",1901,,-73.7515691925307,45.4906075970818,285136.5376,5038995.662,"Non disponible"
"81-03237",202131,,"Actif Ville de Montréal","Pont à  dalle évidée en béton armé","99-Inconnu","Aucun affichage","Ville de Montréal - MTQ","15 - Arrondissement Saint-Laurent","Inspections annuelle et générale par la Ville Montréal",1965,"boulevard Henri-Bourassa Ouest ","Autoroute 40 Est",100,4,"2020-11-23",1543,,-73.7601931659232,45.4900984592845,284462.2768,5038941.228,"Non disponible"
"81-03238",202132,,"Actif Ville de Montréal","Pont à  dalle évidée en béton armé","99-Inconnu","Aucun affichage","Ville de Montréal - MTQ","15 - Arrondissement Saint-Laurent","Inspections annuelle et générale par la Ville Montréal",1965,"boulevard Henri-Bourassa Ouest ","Autoroute 40 Est",100,4,"2020-11-23",1525,,-73.7627951726824,45.4899106467903,284258.8255,5038921.018,"Non disponible"
"81-03239",202552,,"Actif Ville de Montréal","Pont à  dalle pleine en béton précont.","14-H25-S20","Aucun affichage","Ville de Montréal - MTQ","15 - Arrondissement Saint-Laurent","Inspections annuelle et générale par la Ville Montréal",1975,"Boulevard de la Côte-Vertu","Autoroute 13",99.93,4,"2021-11-10",624,,-73.7233481400903,45.482212559254,287339.7929,5038056.2,"Non disponible"
"81-03242",202554,,"Actif Ville de Montréal","Pont à  dalle pleine en béton précont.","14-H25-S20","Aucun affichage","Ville de Montréal - MTQ","15 - Arrondissement Saint-Laurent","Inspections annuelle et générale par la Ville Montréal",1975,"Boulevard Henri-Bourassa Ouest Dir. Est","Autoroute 13 Nord",99.83,4,"2019-10-02",1281,,-73.7497132759362,45.4987153589471,285284.4027,5039896.227,"Non disponible"
"81-03243",202553,,"Actif Ville de Montréal","Pont à  dalle pleine en béton précont.","14-H25-S20","Aucun affichage","Ville de Montréal - MTQ","15 - Arrondissement Saint-Laurent","Inspections annuelle et générale par la Ville Montréal",1975,"Boulevard Henri-Bourassa Ouest Dir. Ouest ","Autoroute 13 Nord",99.46,4,"2021-11-04",1281,,-73.750137746306,45.4986209919552,285251.1969,5039885.843,"Non disponible"
"81-03248",202042,,"Actif Ville de Montréal","Pont à  poutres en acier","17-QS660","Aucun affichage","Ville de Montréal - MTQ","24 - Arrondissement Ahuntsic-Cartierville","Inspections annuelle et générale par la Ville Montréal",2002,"Boulevard de l'Acadie Nord","Autoroute 40 Ouest",99.88,4,"2020-12-03",2700,,-73.6478955387062,45.531237676445,293248.3201,5043490.763,"Non disponible"
"81-03249",202043,,"Actif Ville de Montréal","Pont à  poutres en acier","17-QS660","Aucun affichage","Ville de Montréal - MTQ","24 - Arrondissement Ahuntsic-Cartierville","Inspections annuelle et générale par la Ville Montréal",2002,"Triangle de végétation, boulevard de l'Acadie Nord","Autoroute 40 Ouest",100,4,"2020-12-03",175,,-73.648512018212,45.5314124993847,293200.2047,5043510.28,"Non disponible"
"81-03250",202054,,"Actif Ville de Montréal","Pont à  poutres en acier","18-CL625","Aucun affichage","Ville de Montréal - MTQ","24 - Arrondissement Ahuntsic-Cartierville","Inspections annuelle et générale par la Ville Montréal",2003,"Boulevard de l'Acadie Sud et bret. A","Autoroute 40 Ouest",99.91,4,"2020-11-25",1928,,-73.6494888596589,45.5304824307778,293123.7143,5043407.063,"Non disponible"
"81-03251",202055,,"Actif Ville de Montréal","Pont à  poutres en acier","18-CL625","Aucun affichage","Ville de Montréal - MTQ","24 - Arrondissement Ahuntsic-Cartierville","Inspections annuelle et générale par la Ville Montréal",2003,"Triangle de végétation, boulevard de l'Acadie Sud","Autoroute 40 Ouest",100,4,"2020-12-07",207,,-73.6490152066981,45.5302267732385,293160.6577,5043378.582,"Non disponible"
"81-03252A",6030308,"P.S. Rue Fairway / CP, à  l'Est de croissant Brandon","Actif Ville de Montréal","Pont à  pout. béton précont., préfabr.","17-QS660","Aucun affichage","Ville de Montréal","17 - Arrondissement Lachine","Inspections annuelle et générale par la Ville Montréal",1992,"Rue Fairway ","Canadien Pacifique rail 1",95.33,4,"2020-11-10",833,,-73.7038908503989,45.4540896228859,288852.9353,5034926.86,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-03252A_inspection_generale_web.pdf"
"81-03252B",6041683,,"Actif Ville de Montréal","Mur",,,"Ville Montréal - Canadien Pacifique ","17 - Arrondissement Lachine","Inspections annuelle et générale par la Ville Montréal",1992,"Rue Fairway côté Nord",,99.36,4,"2020-11-10",,933,-73.7056705812406,45.4540017917776,288713.711,5034917.454,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-03252B_inspection_generale_web.pdf"
"81-03253A",6052600,"P.S. Ch. de la Côte-de-Liesse / Authier, CN et Devonshire","Actif Ville de Montréal","Pont à  dalle évidée en béton armé","99-Inconnu","Aucun affichage","Ville de Montréal","15 - Arrondissement Saint-Laurent","Inspections annuelle et générale par la Ville Montréal",1960,"Chemin de la Côte-de-Liesse Dir. Ouest","Chemin Devonshire",67.63,3,"2021-04-28",2453,,-73.6718976177627,45.4990431486356,291365.9313,5039916.696,"https://depot.ville.montreal.qc.ca/pontsettunnels/2021/81-03253A_inspection_generale_web.pdf"
"81-03253B",6011790,,"Actif Ville de Montréal","Pont à  dalle évidée en béton armé","99-Inconnu","Aucun affichage","Ville de Montréal","15 - Arrondissement Saint-Laurent","Inspections annuelle et générale par la Ville Montréal",1960,"Chemin de la Côte-de-Liesse Dir. Ouest ","Cours du MTQ",66.7,3,"2021-04-28",1957,,-73.6752587280755,45.4965348509147,291102.6471,5039638.515,"https://depot.ville.montreal.qc.ca/pontsettunnels/2021/81-03253B_inspection_generale_web.pdf"
"81-03302",6011802,,"Actif Ville de Montréal","Pont à  poutres en acier","13-H20-S16","Charges légales","Ville de Montréal","06 - Arrondissement L'île-Bizard-Sainte-Geneviève","Inspections annuelle et générale par la Ville Montréal",1966,"Boulevard Jacques-Bizard ","Rivière des Prairies",61.55,3,"2021-05-29",3664,,-73.8675843047364,45.4871811903976,276066.6805,5038649.826,"https://depot.ville.montreal.qc.ca/pontsettunnels/2021/81-03302_inspection_generale_web.pdf"
"81-03303",6029158,,"Actif Ville de Montréal","Pont à  dalle pleine en béton armé","99-Inconnu","Aucun affichage","Ville de Montréal","06 - Arrondissement L'île-Bizard-Sainte-Geneviève","Inspections annuelle et générale par la Ville Montréal",1969,"rue Louis-Roch ","Rivière-des-Prairies",96.44,4,"2021-06-01",85,,-73.8781702070248,45.4838111992131,275237.4396,5038279.158,"https://depot.ville.montreal.qc.ca/pontsettunnels/2021/81-03303_inspection_generale_web.pdf"
"81-03304",6011805,,"Actif Ville de Montréal","Pont à  poutres en acier","15-MS200","Aucun affichage","Ville de Montréal","06 - Arrondissement L'île-Bizard-Sainte-Geneviève","Inspections annuelle et générale par la Ville Montréal",1992,"rue Louis-Roch ","Rivière des Prairies",83.51,4,"2021-06-01",47,,-73.877850724883,45.4837900584035,275262.4033,5038276.692,"https://depot.ville.montreal.qc.ca/pontsettunnels/2021/81-03304_inspection_generale_web.pdf"
"81-03305",6057303,,"Actif Ville de Montréal","Ponceau rectang. en béton armé","99-Inconnu","Charges légales","Ville Montréal - Municipalité ","13 - Arrondissement Pierrefonds-Roxboro","Inspections annuelle et générale par la Ville Montréal",1964,"Chemin de l'Anse-à -l'Orme","Ruisseau  à  l'Orme",94.27,4,"2020-10-28",,,-73.9161056484666,45.4446891706594,272249.4201,5033946.196,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-03305_inspection_generale_web.pdf"
"81-03308",6036117,,"Actif Ville de Montréal","Pont à  poutres en acier","98-Autre","Aucun affichage","Ville de Montréal","17 - Arrondissement Lachine","Inspections annuelle et générale par la Ville Montréal",1986,"Chemin du Musée ","Canal Lachine",50.65,3,"2018-05-25",249,,-73.66628877719,45.4319006491537,291788.8343,5032454.244,"https://depot.ville.montreal.qc.ca/pontsettunnels/2018/81-03308_inspection_generale_web.pdf"
"81-03309",6011808,,"Actif Ville de Montréal","Pont acier-bois","17-QS660","Aucun affichage","Ville de Montréal","17 - Arrondissement Lachine","Inspections annuelle et générale par la Ville Montréal",1999,"chemin des Iroquois ","Canal Lachine",92.29,4,"2020-10-27",189,,-73.6687283936795,45.4303628912315,291597.5894,5032283.752,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-03309_inspection_generale_web.pdf"
"81-03310",6042182,,"Actif Ville de Montréal","Pont acier-bois","17-QS660","Charges légales","Ville de Montréal","17 - Arrondissement Lachine","Inspections annuelle et générale par la Ville Montréal",1900,"7ième avenue","Canal Lachine",48.16,3,"2021-10-01",48,,-73.6705593806237,45.4313293543431,291454.5488,5032391.456,"https://depot.ville.montreal.qc.ca/pontsettunnels/2021/81-03310_inspection_generale_web.pdf"
"81-03311",6041914,,"Actif Ville de Montréal","Pont acier-bois","99-Inconnu","Aucun affichage","Ville de Montréal","17 - Arrondissement Lachine","Inspections annuelle et générale par la Ville Montréal",1900,"12ième avenue","Canal Lachine",30,2,"2021-10-01",43,,-73.6752840452803,45.431564281196,291084.9235,5032418.358,"https://depot.ville.montreal.qc.ca/pontsettunnels/2021/81-03311_inspection_generale_web.pdf"
"81-03312",6041919,,"Actif Ville de Montréal","Pont acier-bois","98-Autre","Tonnage réduit","Ville de Montréal","17 - Arrondissement Lachine","Inspections annuelle et générale par la Ville Montréal",1800,"15ième avenue","Canal Lachine",94.3,4,"2021-07-21",87,,-73.6774800328123,45.4316887463793,290913.1293,5032432.567,"https://depot.ville.montreal.qc.ca/pontsettunnels/2021/81-03312_inspection_generale_web.pdf"
"81-03313",6041922,,"Actif Ville de Montréal","Pont acier-bois","17-QS660","Aucun affichage","Ville de Montréal","17 - Arrondissement Lachine","Inspections annuelle et générale par la Ville Montréal",1900,"18ième avenue","Canal Lachine",62.11,3,"2020-10-27",135,,-73.6807795707373,45.4327350509162,290655.2193,5032549.417,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-03313_inspection_generale_web.pdf"
"81-03314",6036120,,"Actif Ville de Montréal","Pont à  pout. béton précont., préfabr.","99-Inconnu","Aucun affichage","Ville de Montréal","13 - Arrondissement Pierrefonds-Roxboro","Inspections annuelle et générale par la Ville Montréal",1968,"Rue de l'île Barwick","Rivière des Prairies",84.9,4,"2020-12-12",198,,-73.8564458711927,45.5064047233414,276946.8281,5040782.221,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-03314_inspection_generale_web.pdf"
"81-03315",6013182,,"Actif Ville de Montréal","Pont à  dalle pleine en béton armé","14-H25-S20","Charges légales","Ville de Montréal","13 - Arrondissement Pierrefonds-Roxboro","Inspections annuelle et générale par la Ville Montréal",1975,"Boulevard Pitfield  direction Nord","Ruisseau Bertrand",65.25,3,"2021-04-28",494,,-73.7593818813713,45.507046754272,284531.7715,5040824.493,"https://depot.ville.montreal.qc.ca/pontsettunnels/2021/81-03315_inspection_generale_web.pdf"
"81-03316",6015561,,"Actif Ville de Montréal","Pont à  dalle pleine en béton armé","14-H25-S20","Charges légales","Ville de Montréal","13 - Arrondissement Pierrefonds-Roxboro","Inspections annuelle et générale par la Ville Montréal",1975,"Boulevard Pitfield direction Sud","Ruisseau Bertrand",67.95,3,"2021-04-28",579,,-73.760243159812,45.5064614186739,284464.26,5040759.662,"https://depot.ville.montreal.qc.ca/pontsettunnels/2021/81-03316_inspection_generale_web.pdf"
"81-03404",6061801,,"Actif Ville de Montréal","Ponceau rectang. en béton armé","98-Autre","Aucun affichage","Ville Montréal - Canadien National","17 - Arrondissement Lachine","Inspections annuelle et générale par la Ville Montréal",1959,"Canadien National rail 1","Rue des à Érables",100,4,"2021-05-27",,,-73.6499831059643,45.4471462344668,293067.8217,5034145.965,"Non disponible"
"81-03405",6023361,,"Actif Ville de Montréal","Ponceau rectang. en béton armé","99-Inconnu","Aucun affichage","Ville de Montréal","17 - Arrondissement Lachine","Inspections annuelle et générale par la Ville Montréal",1965,"Autoroute 20 Ouest"," Accès gare Lachine",97.34,4,"2021-07-21",,,-73.7110585002909,45.4482299195684,288290.6172,5034277.121,"Non disponible"
