No structure,IDE_STRCT,Groupe,Statut,Type structure,Charg. conception,Affichage,Responsablilté de gestion,Centre de services,Role VM Inspection,Année de construction,Nom route,Nom obstacle,ICG,Catégorie ICG,Date Insp. Générale Fermee,Superficie du tablier,Superficie du mur,Longitude,Latitude,X,Y
81-05528,5185417,,Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",18-CL625,Aucun affichage,Ville de Montréal - MTQ,15 - Arrondissement Saint-Laurent,Inspections annuelle et générale par la Ville Montréal,2014,"Voie "" A-1 "", raccordement de A-40 Ouest / 117 Nord",Connection au boulevard Décarie dir. Sud,100,4,2018/09/11 00:00:00,206,,-73.6689615402445,45.5035995664365,291596.4554,5040422.566
81-05529,5185439,,Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",18-CL625,Aucun affichage,Ville de Montréal - MTQ,15 - Arrondissement Saint-Laurent,Inspections annuelle et générale par la Ville Montréal,2013,"Voie "" A-1 "", raccordement de A-40 Ouest / 117 Nord","Voie "" D "",  raccordement A-15 nord / 117 Nord",100,4,2018/09/11 00:00:00,257,,-73.6668322978648,45.504360942392,291763.0213,5040506.83
81-05530,5185424,,Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",18-CL625,Aucun affichage,Ville de Montréal - MTQ,15 - Arrondissement Saint-Laurent,Inspections annuelle et générale par la Ville Montréal,2013,Voie A,"Voie "" D "",  raccordement A-15 nord / 117 Nord",100,4,2018/09/11 00:00:00,372,,-73.6667178570332,45.5042934894148,291771.9487,5040499.315
81-05531,6099522,,Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",18-CL625,Aucun affichage,Ville de Montréal - MTQ,15 - Arrondissement Saint-Laurent,Inspections annuelle et générale par la Ville Montréal,2013,Voie A,Connection au boulevard Décarie dir. Sud,100,4,2018/09/11 00:00:00,372,,-73.6677971599463,45.5030369191631,291687.3156,5040359.848
81-05533,202588,,Actif Ville de Montréal,Portique en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal - MTQ,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1985,Racc. Saint-Antoine Est / A-720 E,Sortie 7 Papineau/ Aut.720 Est,100,4,2018/10/16 00:00:00,3000,,-73.551223032171,45.5157149692077,300798.0211,5041756.348
81-05545,6103068,,Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",18-CL625,Aucun affichage,Ville de Montréal - MTQ,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1972,Place Jean-Paul-Riopel,Autoroute 720 Ouest,100,4,2018/10/16 00:00:00,1173,,-73.561761960452,45.5033729315514,299973.5756,5040385.349
81-05046,201968,,Actif Ville de Montréal,Pont à dalle évidée en béton armé,99-Inconnu,Charges légales,Ville de Montréal - MTQ,23 - Arrondissement Mercier-Hochelaga-Maisonneuve,Inspections annuelle et générale par la Ville Montréal,1966,avenue Souligny Ouest,Autoroute 25 Sud,100,4,2016/04/21 00:00:00,2447,,-73.5248085237797,45.5896344578559,302864.2864,5049970.152
81-03302,6011802,,Actif Ville de Montréal,Pont à poutres en acier,13-H20-S16,Charges légales,Ville de Montréal,06 - Arrondissement L'Île-Bizard-Sainte-Geneviève,Inspections annuelle et générale par la Ville Montréal,1966,pont Jacques-Bizard,Rivière des Prairies,65.98,3,2018/06/02 00:00:00,3664,,-73.8675843047364,45.4871811903976,276066.6805,5038649.826
81-03310,6042182,,Actif Ville de Montréal,Pont acier-bois,17-QS660,Charges légales,Ville de Montréal,17 - Arrondissement Lachine,Inspections annuelle et générale par la Ville Montréal,1900,7ième avenue,Accès au Parc Monk,49.71,3,2017/05/10 00:00:00,48,,-73.6705593806237,45.4313293543431,291454.5488,5032391.456
81-03312,6041919,,Actif Ville de Montréal,Pont acier-bois,98-Autre,Tonnage réduit,Ville de Montréal,17 - Arrondissement Lachine,Inspections annuelle et générale par la Ville Montréal,1800,15ième avenue,Accès au Parc Promenade Père Marquette,95.04,4,2017/05/11 00:00:00,87,,-73.6774800328123,45.4316887463793,290913.1293,5032432.567
81-03315,6013182,,Actif Ville de Montréal,Pont à dalle pleine en béton armé,14-H25-S20,Charges légales,Ville de Montréal,13 - Arrondissement Pierrefonds-Roxboro,Inspections annuelle et générale par la Ville Montréal,1975,Boulevard Pitfield  direction Nord,Ruisseau Bertrand,66.68,3,2016/06/21 00:00:00,494,,-73.7593818813713,45.507046754272,284531.7715,5040824.493
81-03316,6015561,,Actif Ville de Montréal,Pont à dalle pleine en béton armé,14-H25-S20,Charges légales,Ville de Montréal,13 - Arrondissement Pierrefonds-Roxboro,Inspections annuelle et générale par la Ville Montréal,1975,Boulevard Pitfield direction Sud,Ruisseau Bertrand,65.54,3,2016/06/21 00:00:00,579,,-73.760243159812,45.5064614186739,284464.26,5040759.662
81-05029B,6036123,,Actif Ville de Montréal,Ponceau voûté en béton armé,99-Inconnu,Charges légales,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1895,Rue Notre-Dame Est,Rue Berri,65.01,3,2017/09/12 00:00:00,,,-73.5517335,45.5114465,300757.8334,5041282.015
81-05069,6017733,,Actif Ville de Montréal,Pont à poutres-caissons en béton armé,17-QS660,Tonnage réduit,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1951,Rue Sainte-Catherine Est,Canadien Pacifique,71.04,3,2018/09/05 00:00:00,5432,,-73.543813,45.533811,301378.0531,5043767.034
81-05085,6033798,,Actif Ville de Montréal,Pont à poutres-caissons en acier,14-H25-S20,Tonnage réduit,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1965,Passerelle du Cosmos,Chenal Le Moyne,98.24,4,2017/08/29 00:00:00,2067,,-73.529320120875,45.5130371551466,302509.1541,5041457.902
81-05088,6015669,,Actif Ville de Montréal,Pont à poutres-caissons en acier,99-Inconnu,Pont fermé,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1965,Pont reliant La Ronde et l'Île Notre-Dame,Chenal Le Moyne,62.72,3,2016/11/11 00:00:00,2482,,-73.5302795889444,45.5218827915037,302434.5594,5042440.952
81-05129,6013264,,Actif Ville de Montréal,Pont à dalle pleine en béton armé,99-Inconnu,Charges légales,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1959,chemin de la Côte-des-Neiges,chemin Remembrance,62.7,3,2018/02/14 00:00:00,419,,-73.6051774261228,45.4952593983806,296579.6683,5039487.214
81-05131,6014360,,Actif Ville de Montréal,Pont à dalle pleine en béton armé,99-Inconnu,Charges légales,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1959,chemin de la Côte-des-Neiges,chemin Remembrance,64.33,3,2018/02/14 00:00:00,419,,-73.6037960296432,45.4952245166142,296687.6289,5039483.197
81-05133,6037340,,Actif Ville de Montréal,Pont à dalle évidée en béton armé,99-Inconnu,Charges légales,Ville de Montréal,26 - Arrondissement Villeray-Saint-Michel-Parc-Extension,Inspections annuelle et générale par la Ville Montréal,1957,Boulevard Crémazie Est,"Boulevard Pie-IX, dir. Sud",73.82,3,2017/10/10 00:00:00,371,,-73.5999730133106,45.5704181596958,296996.8293,5047839.168
81-05134,6030311,,Actif Ville de Montréal,Pont à dalle évidée en béton armé,99-Inconnu,Charges légales,Ville de Montréal,26 - Arrondissement Villeray-Saint-Michel-Parc-Extension,Inspections annuelle et générale par la Ville Montréal,1957,Boulevard Crémazie Est,"Boulevard Pie-IX, dir. Sud",73.9,3,2017/10/10 00:00:00,371,,-73.599549,45.570246,297029.901,5047819.995
81-05140,6030326,,Actif Ville de Montréal,Pont acier-bois,99-Inconnu,Tonnage réduit,Ville de Montréal,24 - Arrondissement Ahuntsic-Cartierville,Inspections annuelle et générale par la Ville Montréal,1965,avenue Oakridge,Ruisseau Bertrand,88.77,4,2017/11/29 00:00:00,37,,-73.7554314020515,45.5116404722745,284842.0874,5041334.007
81-05167,6013800,,Actif Ville de Montréal,Portique en béton armé,14-H25-S20,Tonnage réduit,Ville de Montréal,23 - Arrondissement Mercier-Hochelaga-Maisonneuve,Inspections annuelle et générale par la Ville Montréal,1974,avenue Dubuisson,rue De Cadillac,71.2,3,2018/06/27 00:00:00,532,,-73.5314491093204,45.5718169056376,302345.3708,5047990.233
81-05179,6036549,,Actif Ville de Montréal,"Port. béton armé, ss remblai",99-Inconnu,Charges légales,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1932,Rue Notre-Dame Est et Château Ramezay,Ancienne rue Gosford,71.9,3,2018/05/29 00:00:00,874,,-73.5530669794574,45.5089906754571,300653.4624,5041009.166
81-05283,6041963,,Actif Ville de Montréal,Ponceau à dalle en béton armé,99-Inconnu,Pont fermé,Ville Montréal - Canadien National,21 - Arrondissement Le Sud-Ouest,Inspections annuelle et générale par la Ville Montréal,1924,"CN, au Nord de la rue Wellington",Rue Shearer,95.67,4,2018/07/05 00:00:00,,,-73.559473,45.481328,300150.6343,5037935.354
81-05284,6054862,,Actif Ville de Montréal,Ponceau rectang. en béton armé,99-Inconnu,Pont fermé,Ville de Montréal,25 - Arrondissement Rosemont-La Petite-Patrie,Inspections annuelle et générale par la Ville Montréal,1955,Rue Viau,Passage piétonnier,68.02,3,2018/05/30 00:00:00,,,-73.5555365,45.565729,300464.8616,5047314.692
81-05295,6034549,,Actif Ville de Montréal,"Pont à tablier supérieur, en bois",99-Inconnu,Pont fermé,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1964,Passage face au Théâtre de la Poudrière,Canal face au Théâtre de la Poudrière,57.48,3,2017/11/16 00:00:00,29,,-73.5334195,45.518299,302189.1039,5042042.78
81-05386,6028381,,Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",16-MS250,Pont fermé,Ville de Montréal,26 - Arrondissement Villeray-Saint-Michel-Parc-Extension,Inspections annuelle et générale par la Ville Montréal,1985,Chemin de la carrière St-Michel,Carrière St-Michel,96.74,4,2017/06/05 00:00:00,272,,-73.6212065213977,45.5773734532153,295340.663,5048614.407
81-05466,6056227,,Actif Ville de Montréal,"Pont de type Pony-Warren, en acier",98-Autre,Pont fermé,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1991,"chemin Macdonald, côté sud",Fleuve St-Laurent,59.73,3,2017/07/26 00:00:00,308,,-73.5321964701285,45.5082844566785,302284.2069,5040929.818
81-05488,6015901,,Actif Ville de Montréal,Pont à poutres en acier,14-H25-S20,Pont fermé pour travaux,Ville de Montréal,19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles,Inspections annuelle et générale par la Ville Montréal,1981,Accès à l'Île Lapierre,Rivière-des-Prairies,73.23,3,2018/08/14 00:00:00,210,,-73.6111545,45.635353,296134.0863,5055056.684
81-05501,6057322,,Actif Ville de Montréal,Pont à poutres en acier,98-Autre,Tonnage réduit,Ville de Montréal,19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles,Inspections annuelle et générale par la Ville Montréal,2011,Piste cyclable du parc de la Pointe-aux-Prairies,Autoroute 40 Est,73.15,3,2017/10/11 00:00:00,480,,-73.5193805,45.672178,303290.0323,5059143.346
81-01102,6027781,,Actif Ville de Montréal,Pont à dalle pleine en béton armé,98-Autre,Aucun affichage,Ville Montréal - Canadien National,14 - Arrondissement Saint-Léonard,Inspection annuelle par la Ville de Montréal,1969,Canadien National,boulevard Lacordaire,,,,451,,-73.614609366196,45.6016502528907,295859.3808,5051311.584
81-02302,6030314,,Actif Ville de Montréal,"Pont à tablier supér., béton armé",17-QS660,Aucun affichage,Ville de Montréal,18 - Arrondissement LaSalle,Inspections annuelle et générale par la Ville Montréal,1920,Boulevard Bishop-Power Dir. Sud,Canal de l'Aqueduc,67.64,3,2017/03/30 00:00:00,2035,,-73.6094363294821,45.4298363584372,296236.9077,5032217.216
81-03112,202435,,Actif Ville de Montréal,Portique en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal - MTQ,17 - Arrondissement Lachine,Inspections annuelle et générale par la Ville Montréal,1966,Autoroute 520,55e Avenue,20,1,2018/10/04 00:00:00,586,,-73.7246586214068,45.4608330770008,287230.7049,5035680.587
81-03115,6011761,,Actif Ville de Montréal,Pont à dalle pleine en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal,15 - Arrondissement Saint-Laurent,Inspections annuelle et générale par la Ville Montréal,1966,Boulevard Marcel-Laurin (Virage en U au Sud du CN),Boulevard Marcel-Laurin Dir. Sud,67.35,3,2018/04/19 00:00:00,483,,-73.6717360786359,45.5031908106283,291379.5413,5040377.6
81-03123,6021260,,Actif Ville de Montréal,Pont à dalle pleine en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal,15 - Arrondissement Saint-Laurent,Inspections annuelle et générale par la Ville Montréal,1966,Boulevard Marcel-Laurin (Virage en U au Nord du CN),Boulevard Marcel-Laurin Dir. Sud,64.02,3,2018/04/19 00:00:00,363,,-73.6722227871989,45.5031784676544,291341.5041,5040376.31
81-03205B,6041910,,Actif Ville de Montréal,Pont à poutres en acier,17-QS660,Aucun affichage,Ville Montréal - Municipalité,17 - Arrondissement Lachine,Inspections annuelle et générale par la Ville Montréal,1960,Rue Saint-Jacques,CN,64.48,3,2017/10/03 00:00:00,1853,,-73.6432837724906,45.447084847867,293591.8537,5034138.188
81-03253B,6011790,,Actif Ville de Montréal,Pont à dalle évidée en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal,15 - Arrondissement Saint-Laurent,Inspections annuelle et générale par la Ville Montréal,1960,Chemin de la Côte-de-Liesse Dir. Ouest,Cours du MTMDET,69.99,3,2017/10/05 00:00:00,1957,,-73.6752587280755,45.4965348509147,291102.6471,5039638.515
81-03308,6036117,,Actif Ville de Montréal,Pont à poutres en acier,98-Autre,Aucun affichage,Ville de Montréal,17 - Arrondissement Lachine,Inspections annuelle et générale par la Ville Montréal,1986,Chemin du Musée,Canal Lachine,50.65,3,2018/05/25 00:00:00,249,,-73.66628877719,45.4319006491537,291788.8343,5032454.244
81-03311,6041914,,Actif Ville de Montréal,Pont acier-bois,99-Inconnu,Aucun affichage,Ville de Montréal,17 - Arrondissement Lachine,Inspections annuelle et générale par la Ville Montréal,1900,12ième avenue,Canal Lachine,30,2,2017/05/10 00:00:00,43,,-73.6752840452803,45.431564281196,291084.9235,5032418.358
81-03313,6041922,,Actif Ville de Montréal,Pont acier-bois,17-QS660,Aucun affichage,Ville de Montréal,17 - Arrondissement Lachine,Inspections annuelle et générale par la Ville Montréal,1900,18ième avenue,Canal Lachine,53.34,3,2016/08/19 00:00:00,104,,-73.6807795707373,45.4327350509162,290655.2193,5032549.417
81-03705,6041935,,Actif Ville de Montréal,"Pont de type Pony-Warren, en acier",99-Inconnu,Aucun affichage,Ville de Montréal,17 - Arrondissement Lachine,Inspections annuelle et générale par la Ville Montréal,1950,Route verte axe 5 au niveau de la 6ème avenue,Canal Lachine,56.95,3,2017/05/10 00:00:00,41,,-73.6695955,45.431358,291529.9746,5032394.48
81-05013,202350,,Actif Ville de Montréal,"Port. béton armé, ss remblai",99-Inconnu,Aucun affichage,Ville de Montréal - MTQ,27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce,Inspections annuelle et générale par la Ville Montréal,1965,Avenue Notre-Dame-de-Grâce,Autoroute 15,,,,7928,,-73.6167709962226,45.476162997828,295670.4678,5037366.28
81-05052,6013352,,Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",13-H20-S16,Aucun affichage,Ville de Montréal,12 - Arrondissement Verdun,Inspections annuelle et générale par la Ville Montréal,1979,rue de l'Église,Canal de l'Aqueduc,69.49,3,2016/06/28 00:00:00,734,,-73.5805305,45.463394,298502.4446,5035943.785
81-05066,6013201,,Actif Ville de Montréal,Pont à poutres en acier,99-Inconnu,Aucun affichage,Ville de Montréal,27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce,Inspections annuelle et générale par la Ville Montréal,1959,Rue Jean-Talon Ouest,Canadien National,30,2,2017/11/23 00:00:00,362,,-73.6325955,45.5133775,294440.0831,5041503.859
81-05070,6036162,,Actif Ville de Montréal,Pont à poutres en acier,17-QS660,Aucun affichage,Ville de Montréal,25 - Arrondissement Rosemont-La Petite-Patrie,Inspections annuelle et générale par la Ville Montréal,1922,rue Sherbrooke Est,"CP, à l'Est de Wurtele",72.92,3,2017/10/10 00:00:00,2716,,-73.559246,45.5398655,300173.179,5044440.651
81-05086,6015662,,Actif Ville de Montréal,Pont à poutres-caissons en acier,98-Autre,Aucun affichage,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1965,Pont de la Concorde,Fleuve St-Laurent,70.69,3,2016/11/11 00:00:00,19700,,-73.539160185313,45.5060860241553,301739.9515,5040685.746
81-05087,6036168,,Actif Ville de Montréal,Pont à poutres en acier,17-QS660,Aucun affichage,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1965,Avenue Pierre-Dupuy,Chenal Le Moyne,72.44,3,2017/07/10 00:00:00,6007,,-73.5308767372859,45.5081176690602,302387.3221,5040911.242
81-05094,6015744,,Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",13-H20-S16,Aucun affichage,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1965,chemin des Floralies,Terrain vague,53.81,3,2016/11/23 00:00:00,254,,-73.5287862975201,45.5047977200776,302550.5347,5040542.234
81-05095,6050722,,Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",13-H20-S16,Aucun affichage,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1965,chemin des Floralies,Canal Ouest,67.72,3,2017/11/01 00:00:00,255,,-73.5282105,45.5051085,302595.5418,5040576.755
81-05096,6034541,,Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",98-Autre,Aucun affichage,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1965,voie Non-nommée,Canal Nord,62.89,3,2017/06/13 00:00:00,314,,-73.5287068413332,45.505640071042,302556.7772,5040635.842
81-05097,6034562,,Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",98-Autre,Aucun affichage,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1965,voie Non-nommée,Canal Nord,52.91,3,2017/06/13 00:00:00,435,,-73.5285948755684,45.5064489875689,302565.5585,5040725.735
