IDE_STRCT,No structure,Nom route,Nom obstacle,Groupe,Centre de services,Type structure,Année de construction,Superficie du tablier,Superficie du mur,Charg conception,Affichage sur place,Statut,Responsablilté de gestion,Role VM Inspection,ICG,Catégorie ICG,Date Insp Générale Fermee,X,Y,latitude,longitude
6069701,81-03205A,Rue St-Jacques côté Nord,,,17 - Arrondissement Lachine,Mur,1960,,120,,,Actif Ville de Montréal,Ville Montréal - Municipalité,Inspections annuelle et générale par la Ville Montréal,,,,"293570,528633285","5034098,36724551","45,4467261750487","-73,6435554807147"
6041910,81-03205B,Rue St-Jacques,Avenue Milton,,17 - Arrondissement Lachine,Pont à poutres en acier,1960,1845,,17-QS660,Aucun affichage,Actif Ville de Montréal,Ville Montréal - Municipalité,Inspections annuelle et générale par la Ville Montréal,,,,"293591,85372486","5034138,17758593","45,4470847503219","-73,6432837724906"
6069702,81-03205C,Rue St-Jacques côté Sud,,,17 - Arrondissement Lachine,Mur,1960,,111,,,Actif Ville de Montréal,Ville Montréal - Municipalité,Inspections annuelle et générale par la Ville Montréal,,,,"293591,384826968","5034100,91733036","45,4467494567328","-73,6432889179363"
202266,81-03218,1re Avenue,Autoroute 20,,17 - Arrondissement Lachine,"Pont à pout. béton précont., préfabr.",1966,562,,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,,,,"291994,896483979","5033847,86682378","45,4444449605796","-73,6636914730483"
202542,81-03221,Rue Hickmore,Autoroute 13,,15 - Arrondissement Saint-Laurent,Pont à poutres en béton armé,1975,808,,14-H25-S20,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,"99,96",4,2016-06-01,"289239,659964049","5036459,17156451","45,4678867528637","-73,6989949211563"
6011776,81-03232A,Chemin de la Côte-de-Liesse direction Ouest,Chemin Canora,"P.S. Ch. de la Côte-de-Liesse / Stinson, CN et Canora",15 - Arrondissement Saint-Laurent,Pont à dalle évidée en béton armé,1960,1275,,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"71,49",3,2015-12-03,"292693,735264025","5042291,70420108","45,5204386921766","-73,6549662065135"
6011780,81-03232B,"Chemin de la Côte-de-Liesse, direction Ouest",Chemin Dunkirk,"P.S. Ch. de la Côte-de-Liesse / Stinson, CN et Canora",15 - Arrondissement Saint-Laurent,Pont à dalle évidée en béton armé,1960,952,,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"73,39",3,2015-12-07,"292647,792617059","5042188,52710369","45,5195094671472","-73,6555517347469"
202136,81-03233,Boulevard Cavendish,Autoroute 40,,15 - Arrondissement Saint-Laurent,"Pont à pout. béton précont., préfabr.",1965,5343,,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,"99,98",4,2015-09-25,"289461,67526268","5039242,00134394","45,4929327160748","-73,6962425849378"
202118,81-03234A,Boulevard de la Côte-Vertu,Autoroute 40,P.S. Boul. Côte-Vertu / Aut. 40,15 - Arrondissement Saint-Laurent,Pont à dalle évidée en béton armé,1961,2234,,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,,,,"288086,558511525","5038779,5079041","45,488739441351","-73,7138203264013"
202119,81-03234B,Boulevard de la Côte-Vertu,Racc. V. Service A-40 W / Côte-Vertu W,P.S. Boul. Côte-Vertu / Aut. 40,15 - Arrondissement Saint-Laurent,Pont à dalle évidée en béton armé,1961,400,,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,,,,"288053,014827071","5038858,16184912","45,4894463960923","-73,7142521415942"
202120,81-03235A,Boulevard de la Côte-Vertu,Autoroute 40,P.S. Boul. Côte-Vertu / Aut. 40,15 - Arrondissement Saint-Laurent,Pont à dalle évidée en béton armé,1961,2620,,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,,,,"287927,379288216","5038826,49579971","45,4891584266762","-73,7158583569156"
202121,81-03235B,Boulevard de la Côte-Vertu,Racc. V. Service A-40 E / Côte-vertu E,P.S. Boul. Côte-Vertu / Aut. 40,15 - Arrondissement Saint-Laurent,Pont à dalle évidée en béton armé,1961,405,,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,,,,"287979,94176594","5038748,48705244","45,4884577423478","-73,7151832355215"
202232,81-03236,Rue Halpern,Autoroute 40,,15 - Arrondissement Saint-Laurent,"Pont à pout. béton précont., préfabr.",1977,1901,,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,,,,"285136,537664583","5038995,65126836","45,4906074995366","-73,7515691925307"
202131,81-03237,Boulevard Henri-Bourassa Ouest (direction est),Autoroute 40,,15 - Arrondissement Saint-Laurent,Pont à dalle évidée en béton armé,1965,1564,,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,,,,"284462,276824549","5038941,21751321","45,4900983617393","-73,7601931659232"
