SUB_ID,ORG_ID,ORG_NOM,ORG_TYPE,BEN_TYPE,BEN_NOM,BEN_ADRESSE,BEN_ADRESSE2,BEN_MUNICIPALITE,BEN_CODE_POSTAL,BEN_RADM,SUB_NOM,SUB_VOLET,SUB_SOUS-VOLET,SUB_DATE,SUB_TYPE,SUB_DESCRIPTION,SUB_DOMAINE,SUB_SOUS-DOMAINE,SUB_VALEUR
SUB_SODEC_ACE,539.00,SODEC,Public,Entreprise,Les Films Extérieur Jour inc.,"4112, rue Saint-Dominique",bureau 301,Montréal,H2W2A8,Montréal,Aide à la création émergente 2023,Développement 2023,,2022-09-02,Subvention,Du blé pour Sainte-Barbe,Cinéma et production télévisuelle,Scénarisation,25 000
SUB_SODEC_ACE,539.00,SODEC,Public,Entreprise,Objectif 9 inc.,"822, rue Duluth Est",,Montréal,H2L1B3,Montréal,Aide à la création émergente 2023,Développement 2023,,2022-09-02,Subvention,Aux garçons de mon âge,Cinéma et production télévisuelle,Scénarisation,15 000
SUB_SODEC_ACE,539.00,SODEC,Public,Entreprise,Les Productions Ô Films inc.,"7998, rue Lajeunesse",,Montréal,H2R2J6,Montréal,Aide à la création émergente 2023,Développement 2023,,2022-09-02,Subvention,Mardi matin,Cinéma et production télévisuelle,Scénarisation,12 320
SUB_SODEC_ACE,539.00,SODEC,Public,Entreprise,9342-2947 Québec inc.,"396, rue du Chardonnay",,Sherbrooke,J1L0J3,Estrie,Aide à la création émergente 2023,Développement 2023,,2022-09-02,Subvention,La grande surprise,Cinéma et production télévisuelle,Scénarisation,14 985
SUB_SODEC_ACE,539.00,SODEC,Public,Entreprise,UGO Multimédia Internet Stands inc.,"2030, boulevard Pie-IX",bureau 301,Montréal,H1V2C8,Montréal,Aide à la création émergente 2023,Développement 2023,,2022-09-02,Subvention,Jupons,Cinéma et production télévisuelle,Scénarisation,15 000
SUB_SODEC_ACE,539.00,SODEC,Public,Entreprise,"Les Films By-Pass inc., 9492-4529 Québec inc.","1583, rue D'Iberville",,Montréal,H2K3B8,Montréal,Aide à la création émergente 2023,Développement 2023,,2022-09-02,Subvention,Aventure FM,Cinéma et production télévisuelle,Scénarisation,15 000
SUB_SODEC_ACE,539.00,SODEC,Public,Entreprise,Tak Films inc.,"7018, 2e Avenue",,Montréal,H2A3G3,Montréal,Aide à la création émergente 2023,Développement 2023,,2022-09-02,Subvention,Rudesse,Cinéma et production télévisuelle,Scénarisation,10 000
SUB_SODEC_ACE,539.00,SODEC,Public,Entreprise,Inaru Films inc.,"6465, rue Durocher",local 308,Montréal,H2V3Z1,Montréal,Aide à la création émergente 2023,Développement 2023,,2022-09-02,Subvention,Pink Moon,Cinéma et production télévisuelle,Scénarisation,11 000
SUB_SODEC_ACE,539.00,SODEC,Public,Entreprise,Voyelles Films Productions inc.,"5333, avenue Casgrain",bureau 906,Montréal,H2T1X3,Montréal,Aide à la création émergente 2023,Développement 2023,,2022-09-02,Subvention,Sirène,Cinéma et production télévisuelle,Scénarisation,15 000
SUB_SODEC_ACE,539.00,SODEC,Public,Entreprise,Parce Que Films inc.,"2205, rue Parthenais",bureau 306,Montréal,H2K3T3,Montréal,Aide à la création émergente 2023,Développement 2023,,2022-09-02,Subvention,22/discret/Lachute,Cinéma et production télévisuelle,Scénarisation,25 000
SUB_SODEC_ACE,539.00,SODEC,Public,Entreprise,Anémone Films inc.,"5425, avenue Casgrain",bureau 702,Montréal,H2T2S2,Montréal,Aide à la création émergente 2023,Développement 2023,,2022-09-02,Subvention,Un crime contre l'humanité,Cinéma et production télévisuelle,Scénarisation,25 000
SUB_SODEC_ACE,539.00,SODEC,Public,Entreprise,9252-7035 Québec inc. (Productions ChicArt / Films de Flirt),"4340, rue Clark",,Montréal,H2W1X3,Montréal,Aide à la création émergente 2023,Développement 2023,,2022-09-02,Subvention,Bougainvillea,Cinéma et production télévisuelle,Scénarisation,25 000
SUB_SODEC_ACE,539.00,SODEC,Public,Entreprise,Terre Innue inc.,"93B, boulevard Bastien",bureau 209,Wendake,G0A4V0,Capitale-Nationale,Aide à la création émergente 2023,Développement 2023,,2022-09-02,Subvention,Eva Deer,Cinéma et production télévisuelle,Scénarisation,25 000
SUB_SODEC_ACE,539.00,SODEC,Public,Entreprise,Groupe Moonstruhk inc.,"6465, av. Durocher",app. 301,Montréal,H2V3Z1,Montréal,Aide à la création émergente 2023,Développement 2023,,2022-09-02,Subvention,Néandertal,Cinéma et production télévisuelle,Scénarisation,11 724
SUB_SODEC_ACE,539.00,SODEC,Public,Entreprise,Festival Fantasia,"2303, rue Davidson",,Montréal,H1W2Y9,Montréal,Aide à la création émergente 2023,Activité d'accompagnement 2023,,2022-07-18,Subvention,Maillage - Festival Fantasia 2022,Cinéma et production télévisuelle,Production - Cinéma,5 000
SUB_SODEC_ACE,539.00,SODEC,Public,Entreprise,Caravane Films Productions,"150, rue Racine Est",,Saguenay,G7H6V4,Saguenay-Lac-Saint-Jean,Aide à la création émergente 2023,Activité d'accompagnement 2023,,2022-08-01,Subvention,Mentorat,Cinéma et production télévisuelle,Production - Cinéma,39 215
SUB_SODEC_ACE,539.00,SODEC,Public,Entreprise,Table de concertation de l'industrie du cinéma et de la télévision de la Capitale-Nationale,"541, Saint-Vallier Est",,Québec,G1K3P9,Capitale-Nationale,Aide à la création émergente 2023,Activité d'accompagnement 2023,,2022-07-29,Subvention,Profil 2021 de l'industrie en CN,Cinéma et production télévisuelle,Production - Cinéma,3 760
SUB_SODEC_ACE,539.00,SODEC,Public,Entreprise,9174-5018 Québec inc.,"5041, rue Saint-Denis",,Montréal,H2J2L9,Montréal,Aide à la création émergente 2023,Production 2023,,2022-08-11,Subvention,Les rois,Cinéma et production télévisuelle,Production - Cinéma,125 750
SUB_SODEC_ACE,539.00,SODEC,Public,Entreprise,Société de développement des entreprises culturelles,"905, avenue De Lorimier",,Montréal,H2K3V9,Montréal,Aide à la création émergente 2023,Activité d'accompagnement 2023,,2023-03-31,Subvention,Cours écrire ton court 2022-2023,Cinéma et production télévisuelle,Production - Cinéma,63 476
SUB_SODEC_ACE,539.00,SODEC,Public,Entreprise,Société de développement des entreprises culturelles,"905, avenue De Lorimier",,Montréal,H2K3V9,Montréal,Aide à la création émergente 2023,Activité d'accompagnement 2023,,2022-12-22,Subvention,Atelier SARTEC cohorte 4 : introduction à la scénarisation des dialogues,Cinéma et production télévisuelle,Production - Cinéma,3 242
SUB_SODEC_ACE,539.00,SODEC,Public,Entreprise,Société de développement des entreprises culturelles,"905, avenue De Lorimier",,Montréal,H2K3V9,Montréal,Aide à la création émergente 2023,Activité d'accompagnement 2023,,2022-12-09,Subvention,Atelier INIS cohorte 4 : direction d'acteurs/actrices,Cinéma et production télévisuelle,Production - Cinéma,1 435
