annee,arrondissement,code_type_base_demande,nombre_permis_emis,cout_permis_emis,cout_travaux_estimes
1997,"LaSalle","TR",142,11241,5562000
1997,"Le Plateau-Mont-Royal","CO",51,84628.01,15411000
1997,"Le Plateau-Mont-Royal","DE",60,4965,
1997,"Le Plateau-Mont-Royal","TR",636,798169.71,30035447
1997,"Le Sud-Ouest","CO",20,8536,1676640
1997,"Le Sud-Ouest","DE",26,3045,
1997,"Le Sud-Ouest","TR",271,120831.71,17039461
1997,"Mercier - Hochelaga-Maisonneuve","CO",74,51440.76,11438713
1997,"Mercier - Hochelaga-Maisonneuve","DE",55,2485,
1997,"Mercier - Hochelaga-Maisonneuve","TR",393,213393.39,32521613
1997,"Rivière-des-Prairies - Pointe-aux-Trembles","CO",241,141952.96,30594548
1997,"Rivière-des-Prairies - Pointe-aux-Trembles","DE",25,2440,
1997,"Rivière-des-Prairies - Pointe-aux-Trembles","TR",252,62880.57,10379002
1997,"Rosemont - La Petite-Patrie","CO",51,53019.16,9129108
1997,"Rosemont - La Petite-Patrie","DE",53,3650,
1997,"Rosemont - La Petite-Patrie","TR",436,120365.96,19239644
1997,"Saint-Laurent","CA",491,45211.24,23276236
1997,"Saint-Laurent","CO",159,104238.27,58342800
1997,"Saint-Laurent","DE",19,16668,
1997,"Saint-Laurent","TR",65,58526,23864794
1997,"Verdun","CO",537,44254,18252660
1997,"Verdun","DE",167,4325,
1997,"Ville-Marie","CO",36,318987,48070194
1997,"Ville-Marie","DE",43,6150,
1997,"Ville-Marie","TR",985,1052315.84,178260604
1997,"Villeray - Saint-Michel - Parc-Extension","CO",18,34984,5526000
1997,"Villeray - Saint-Michel - Parc-Extension","DE",31,1825,
1997,"Villeray - Saint-Michel - Parc-Extension","TR",411,130287.25,20333375
1998,"Ahuntsic - Cartierville","CO",62,72937.38,10176889
1998,"Ahuntsic - Cartierville","DE",19,3285,
1998,"Ahuntsic - Cartierville","TR",350,231873.84,34581617
1998,"Côte-des-Neiges - Notre-Dame-de-Grâce","CO",19,133135,24018000
1998,"Côte-des-Neiges - Notre-Dame-de-Grâce","DE",26,3090,
1998,"Côte-des-Neiges - Notre-Dame-de-Grâce","TR",384,337603.72,45840506
1998,"L'Île-Bizard - Sainte-Geneviève","CA, CO, DE, TR",253,35872,11387785
1998,"LaSalle","CA",2083,247888,1441383
1998,"LaSalle","CO",245,72131.46,45684239
1998,"LaSalle","TR",104,10364,5307000
1998,"Le Plateau-Mont-Royal","CO",45,115650.77,17105000
1998,"Le Plateau-Mont-Royal","DE",54,1855,
1998,"Le Plateau-Mont-Royal","TR",650,308203.36,45788121
1998,"Le Sud-Ouest","CO",25,69499.5,10447522
1998,"Le Sud-Ouest","DE",35,1850,
1998,"Le Sud-Ouest","TR",266,141052.09,21973312
1998,"Mercier - Hochelaga-Maisonneuve","CO",62,125953,18418642
1998,"Mercier - Hochelaga-Maisonneuve","DE",44,4659,
1998,"Mercier - Hochelaga-Maisonneuve","TR",401,222234,58915451
1998,"Rivière-des-Prairies - Pointe-aux-Trembles","CO",265,187477.45,34011057
1998,"Rivière-des-Prairies - Pointe-aux-Trembles","DE",18,4057,
1998,"Rivière-des-Prairies - Pointe-aux-Trembles","TR",256,236880.37,36452474
1998,"Rosemont - La Petite-Patrie","CO",113,132774.51,30576333
1998,"Rosemont - La Petite-Patrie","DE",52,2785,
1998,"Rosemont - La Petite-Patrie","TR",337,184675.41,19211940
1998,"Saint-Laurent","CA",479,42589,19061646
1998,"Saint-Laurent","CO",157,186776,114347000
1998,"Saint-Laurent","DE",18,21089,
1998,"Saint-Laurent","TR",82,77039,31769650
1998,"Verdun","CO",428,61411,29504238
1998,"Verdun","DE",133,3325,
1998,"Ville-Marie","CO",23,129052.11,23758766
1998,"Ville-Marie","DE",22,3090,
1998,"Ville-Marie","TR",1129,1703674.62,253156585
1998,"Villeray - Saint-Michel - Parc-Extension","CO",13,21195,5170478
1998,"Villeray - Saint-Michel - Parc-Extension","DE",33,1550,
1998,"Villeray - Saint-Michel - Parc-Extension","TR",355,116389.67,15048052
1999,"Ahuntsic - Cartierville","CO",63,41994.7,7413815
1999,"Ahuntsic - Cartierville","DE",14,2680,
1999,"Ahuntsic - Cartierville","TR",350,157955.2,20994177
1999,"Anjou","CO, DE",269,131217.61,62960060
1999,"Côte-des-Neiges - Notre-Dame-de-Grâce","CO",57,372704.54,50008081
1999,"Côte-des-Neiges - Notre-Dame-de-Grâce","DE",20,4030,
1999,"Côte-des-Neiges - Notre-Dame-de-Grâce","TR",565,417952.74,60074761
1999,"L'Île-Bizard - Sainte-Geneviève","CA, CO, DE, TR",269,45787,15757630
1999,"LaSalle","CA",1816,259831,1796939
1999,"LaSalle","CO",205,57149,35780330
1999,"LaSalle","TR",90,13647,7767150
1999,"Lachine","CA, CO, TR",20,10341,2922800
1999,"Le Plateau-Mont-Royal","CO",18,47438.25,5978100
1999,"Le Plateau-Mont-Royal","DE",57,2370,
1999,"Le Plateau-Mont-Royal","TR",711,228479.03,29537156
1999,"Le Sud-Ouest","CO",25,108647.5,16297333
1999,"Le Sud-Ouest","DE",44,1550,
1999,"Le Sud-Ouest","TR",285,147093.38,19758633
1999,"Mercier - Hochelaga-Maisonneuve","CO",71,113056.5,18977466
1999,"Mercier - Hochelaga-Maisonneuve","DE",83,3720,
1999,"Mercier - Hochelaga-Maisonneuve","TR",422,193411.41,26601832
1999,"Rivière-des-Prairies - Pointe-aux-Trembles","CO",150,90980.5,16690184
1999,"Rivière-des-Prairies - Pointe-aux-Trembles","DE",16,4030,
1999,"Rivière-des-Prairies - Pointe-aux-Trembles","TR",287,233627.26,39013130
1999,"Rosemont - La Petite-Patrie","CO",138,176108,30274736
1999,"Rosemont - La Petite-Patrie","DE",55,11550,
1999,"Rosemont - La Petite-Patrie","TR",417,178381.69,23816019
1999,"Saint-Laurent","CA",757,67004,36479662
1999,"Saint-Laurent","CO",218,220701,96736122
1999,"Saint-Laurent","DE",13,10080.2,
1999,"Saint-Laurent","TR",73,73209,49883992
1999,"Verdun","CO",358,81408,50718153
1999,"Verdun","DE",254,8285,
1999,"Ville-Marie","CO",37,114761.71,15833295
1999,"Ville-Marie","DE",42,7515,
1999,"Ville-Marie","TR",1281,1782143.02,256394639
1999,"Villeray - Saint-Michel - Parc-Extension","CO",25,55656.5,9122600
1999,"Villeray - Saint-Michel - Parc-Extension","DE",38,2605,
1999,"Villeray - Saint-Michel - Parc-Extension","TR",325,281931.26,51345140
2000,"Ahuntsic - Cartierville","CO",111,89822.75,16800643
2000,"Ahuntsic - Cartierville","DE",27,5580,
2000,"Ahuntsic - Cartierville","TR",328,168234.73,24000468
2000,"Anjou","CO, DE",276,84713.9,38461110
2000,"Côte-des-Neiges - Notre-Dame-de-Grâce","CO",30,123298.2,29423695
2000,"Côte-des-Neiges - Notre-Dame-de-Grâce","DE",19,1600,
2000,"Côte-des-Neiges - Notre-Dame-de-Grâce","TR",596,330177.99,52692305
2000,"L'Île-Bizard - Sainte-Geneviève","CA, CO, DE, TR",271,35574,12716716
2000,"LaSalle","CA",1722,145975,1883835
2000,"LaSalle","CO",144,30622,19959400
2000,"LaSalle","TR",89,11189,5884900
2000,"Lachine","CA",368,50160.39,10857622
2000,"Lachine","CO",39,50858,17012000
2000,"Lachine","DE",26,1098,
2000,"Lachine","TR",17,3485,66450
2000,"Le Plateau-Mont-Royal","CO",35,127845.5,17570333
2000,"Le Plateau-Mont-Royal","DE",66,5340,
2000,"Le Plateau-Mont-Royal","TR",693,252653.41,40885975
2000,"Le Sud-Ouest","CO",31,210829.22,29067832
2000,"Le Sud-Ouest","DE",41,2840,
2000,"Le Sud-Ouest","TR",241,124519,16989720
2000,"Mercier - Hochelaga-Maisonneuve","CO",54,193622.51,27937677
2000,"Mercier - Hochelaga-Maisonneuve","DE",41,2790,
2000,"Mercier - Hochelaga-Maisonneuve","TR",369,262368.78,35591218
2000,"Rivière-des-Prairies - Pointe-aux-Trembles","CO",178,178333.13,33256552
2000,"Rivière-des-Prairies - Pointe-aux-Trembles","DE",13,2790,
2000,"Rivière-des-Prairies - Pointe-aux-Trembles","TR",246,124650.75,16741856
