ID_TRC,Rue,De,A,Longueur,Arrondissement,DateReleve,Indice_PCI,Etat_PCI,Indice_IRI,Etat_IRI
1040089,"De Chateaubriand, avenue","Legendre Est, rue","Chabanel Est, rue",259.62,Ahuntsic-Cartierville,2022-07-27,47,Moyen,3.62,Bon
1040088,"De Chateaubriand, avenue","Émile-Journault, avenue","Legendre Est, rue",262.22,Ahuntsic-Cartierville,2022-07-27,24,Mauvais,3.61,Bon
1040087,"De Chateaubriand, avenue","Crémazie Est, boulevard","Émile-Journault, avenue",373.92,Ahuntsic-Cartierville,2022-07-27,89,Excellent,3.3,Bon
1110510,"Saint-Gérard, rue","de Liège Est, rue",,92.21,Villeray-Saint-Michel-Parc-Extension,2022-07-27,84,Excellent,1.09,Excellent
1110509,"Saint-Gérard, rue","Guizot Est, rue","de Liège Est, rue",259.41,Villeray-Saint-Michel-Parc-Extension,2022-07-27,45,Moyen,1.87,Excellent
1110508,"Saint-Gérard, rue","Mistral, rue","Guizot Est, rue",125.83,Villeray-Saint-Michel-Parc-Extension,2022-07-27,15,Très mauvais,5.12,Moyen
1110507,"Saint-Gérard, rue","Jarry Est, rue","Mistral, rue",143.72,Villeray-Saint-Michel-Parc-Extension,2022-07-27,21,Mauvais,,
1120240,"Saint-Gérard, rue","Gounod, rue","Jarry Est, rue",254.66,Villeray-Saint-Michel-Parc-Extension,2022-07-27,30,Mauvais,3.16,Bon
1120239,"Saint-Gérard, rue","Villeray, rue","Gounod, rue",238.69,Villeray-Saint-Michel-Parc-Extension,2022-07-27,91,Excellent,2.22,Excellent
1120237,"Saint-Gérard, rue","D'Ailleboust, rue","Villeray, rue",117.48,Villeray-Saint-Michel-Parc-Extension,2022-07-27,59,Moyen,2.47,Excellent
1120236,"Saint-Gérard, rue","De Pontbriand, rue","D'Ailleboust, rue",69.9,Villeray-Saint-Michel-Parc-Extension,2022-07-27,50,Moyen,2.99,Bon
1120235,"Saint-Gérard, rue","Faillon Est, rue","De Pontbriand, rue",67.04,Villeray-Saint-Michel-Parc-Extension,2022-07-27,49,Moyen,3.21,Bon
1120234,"Saint-Gérard, rue","Dufour, rue","Faillon Est, rue",136.73,Villeray-Saint-Michel-Parc-Extension,2022-07-27,59,Moyen,3.75,Bon
