No_UADM,Description,Type,Service_arrondissement 
370203030000,DIVISION DE L INFORMATION POLICIÈRE,SEC,Service
370203030100,QUALITÉ DES DONNÉES POLICIÈRES,BUR,Service
370203030200,SOUTIEN AUX RAPPORTS D ÉVÉNEMENTS,BUR,Service
370203030300,CENTRALE D INFORMATION POLICIÈRE,BUR,Service
370203030400,RAPPORTS DU CITOYEN,BUR,Service
370203030500,ACCÈS À L INFORMATION ET ARCHIVES,BUR,Service
370204000000,SERVICE DE L INTÉGRITÉ,BUR,Service
370204000100,SÉCURITÉ ET PROBITÉ ORGANISATIONNELLE,BUR,Service
370204010000,DIVISION DES NORMES PROFESSIONNELLES,SEC,Service
370204010100,ENQUÊTES,BUR,Service
370204010200,DISCIPLINE ET LIAISON,BUR,Service
370204010201,BUREAU DU SERVICE AUX CITOYENS,INS,Service
370205000000,SERVICE DE LA FORMATION ET DES RELATIONS PROFESSIONNELLES,DIV,Service
370205010000,DIVISION DE LA FORMATION ET DU DÉVELOPPEMENT INSTITUTIONNEL,SEC,Service
370205010100,DÉVELOPPEMENT DES COMPÉTENCES TECHNOLOGIQUES,BUR,Service
370205010200,DÉVELOPPEMENT DES COMPÉTENCES EN INTERVENTIONS POLICIÈRES,BUR,Service
370205010201,INTERVENTION EN SOUTIEN AUX EMPLOYÉS (MISE),INS,Service
370205010300,DÉVELOPPEMENT ET PRATIQUES POLICIÈRES,BUR,Service
370205010400,GESTION DE LA FORMATION,BUR,Service
370205010500,ATTRACTION ET INTÉGRATION À LA FONCTION POLICIÈRE,BUR,Service
370205020000,DIVISION DES RELATIONS PROFESSIONNELLES,SEC,Service
370205020001,MISSIONS INTERNATIONALES ET SERVICES AFFAIRES,INS,Service
370205020002,BUREAU DE L ÉTHIQUE,INS,Service
370205020003,RÉSERVISTES AGENTS,INS,Service
370205020004,RÉSERVISTES SERGENTS DÉTECTIVES,INS,Service
370205020005,PRÉVENTION EN SANTÉ ET SÉCURITÉ AU TRAVAIL,INS,Service
370205020100,PROGRAMME D AIDE AUX POLICIERS ET POLICIÈRES,BUR,Service
370300000000,DIRECTION DES SERVICES SPÉCIALISÉS,DIR,Service
370300000001,ENSALA,SEP,Service
370300000002,STRUCTURE DE GESTION POLICIÈRE CONTRE LE TERRORISME,SEP,Service
370300000003,SERVICE DE RENSEIGNEMENT CRIMINEL DU QUÉBEC (SRCQ),SEP,Service
370300000004,INTERPOL,SEP,Service
370300000005,ÉQUIPE INTÉGRÉE SUR LA SÉCURITÉ NATIONALE (EISN),SEP,Service
370300000006,UPAC,SEP,Service
370300000007,UNITÉ MIXTE D ENQUÊTE SUR LE CRIME ORGANISÉ (UMECO),SEP,Service
370300000008,GROUPE INTÉGRÉ DE LA RÉDUCTION DE LA CRIMINALITÉ (GIRC),SEP,Service
370300000009,CENTRE DE COORDINATION PROVINCIAL DE LA MENACE (CCPM),SEP,Service
370300000010,BUREAU D INSPECTEUR GÉNÉRAL (BIG),SEP,Service
370300000011,ESEI,BUR,Service
370300010000,BUREAU RENSEIGNEMENT STATÉGIQUE,SEC,Service
370300010100,SECTION SERVICES D ORDRE - GENDARMERIE / ENQUETES,SEC,Service
370300010300,SECTION ANTITERRORISME ET MESURES D URGENCE,SEC,Service
370301000000,SERVICE DES ENQUÊTES SPÉCIALISÉES,DIV,Service
370301000001,ESCOUADE NATIONALE DE RÉPRESSION DU CRIME ORGANISÉE (ENRCO),BUR,Service
370301000002,ÉQUIPE INTÉGRÉE À LA LUTTE CONTRE LE TRAFIC D ARMES (EILTA),BUR,Service
370301000300,CRIMES MAJEURS,INS,Service
370301000400,AGRESSIONS SEXUELLES,INS,Service
370301000401,ABUS PHYSIQUES ET DÉCÈS D ENFANTS,BUR,Service
370301000402,SURVEILLANCE DES DÉLINQUANTS SEXUELS,BUR,Service
370301000500,EXPLOITATION SEXUELLE,INS,Service
370301000501,EQUIPE INTÉGRÉE DE LUTTE AU PROXÉNITISME,SEP,Service
370301000600,CRIMES ÉCONOMIQUES(INCLUT FRAUDES FINANCIÈRES ET GÉNÉRALES),INS,Service
370301000601,INCENDIES CRIMINELSET EXPLOSIFS,BUR,Service
370301001500,CRIME ORGANISÉ,BUR,Service
370301001501,ÉCLIPSE,INS,Service
370301001502,ANTIGANG,INS,Service
370301001503,MORALITÉ,INS,Service
370301001506,DEMDCO,BUR,Service
370301001600,ACCES ET PRODUITS DE LA CRIMINALITÉ,BUR,Service
370301001601,PROJET ACCES,INS,Service
370301001602,ACCÈS ALCOOL,INS,Service
370301001603,ACCÈS TABAC,INS,Service
370301001604,ACCÈS - CANNABIS,BUR,Service
370301001605,ACCEF,BUR,Service
370301001700,VIOLENCE CONJUGALE,BUR,Service
370302000000,SERVICE DE L EXPERTISE EN ENQUÊTES CRIMINELLES,DIV,Service
370302000100,SURVEILLANCE,INS,Service
370302000300,IDENTIFICATION JUDICIAIRE,INS,Service
370302000400,TECHNOLOGIES EN ENQUÊTE,INS,Service
370302000401,VIDÉOSURVEILLANCE ET LABORATOIRE D EXPERTISE AUDIOVISUEL,INS,Service
370302000600,SERVICES AUX COURS,INS,Service
370302000601,"LIAISON COUR DU QUÉBEC, CHAMBRE CRIMINELLE ET PÉNALE",SEP,Service
370302000602,LIAISON COUR MUNICIPALE DE MONTRÉAL,SEP,Service
370302000603,"LIAISON COUR DU QUÉBEC, CHAMBRE DE LA JEUNESSE",SEP,Service
370302000604,MANDATS,INS,Service
370302000900,ANALYSE ET RENSEIGNEMENT,BUR,Service
370302000901,RENSEIGNEMENT CRIMINEL,BUR,Service
370302000902,ANALYSE ET RENSEIGNEMENT - OUEST,BUR,Service
370302000903,ANALYSE ET RENSEIGNEMENT - SUD,BUR,Service
370302000904,ANALYSE ET RENSEIGNEMENT - NORD,BUR,Service
370302000905,ANALYSE ET RENSEIGNEMENT - EST,BUR,Service
370302001000,RENSEIGNEMENT SPÉCIALISÉ,BUR,Service
370302001001,CONTRÔLE DES INFORMATEURS,BUR,Service
370302001002,LIAISON SÉCURITÉ,BUR,Service
370302001003,SOUTIEN,BUR,Service
370302001004,CYBERENQUÊTE,BUR,Service
370302010000,DIVISION PROJETS SPÉCIAUX,DIV,Service
370304000000,SERVICE DU SOUTIEN EN GENDARMERIE,DIV,Service
370304010000,DIVISION DE LA PLANIFICATION OPÉRATIONNELLE,SEC,Service
370304010100,SERVICE D ORDRE,BUR,Service
370304010101,ÉQUIPE ÉVÉNEMENTS FESTIFS,INS,Service
370304010200,ANTITERRORISME ET MESURES D URGENCE,BUR,Service
370304010201,CCTI CENTRE DE COMMANDEMENT ET DE TRAITEMENT DE L INFORMAT,INS,Service
370304010202,CONTINUITÉ DES AFFAIRES,BUR,Service
370304020000,DIVISION DES OPÉRATIONS SPÉCIALISÉES ET TACTIQUES,SEC,Service
370304020001,"COORDINATION, SOUTIEN ET INTERVENTIONS SPÉCIALISÉES",INS,Service
370304020100,GROUPE TACTIQUE D INTERVENTION,BUR,Service
370304020200,SOUTIEN ET INTERVENTIONS SPÉCIALISÉES NORD-EST,BUR,Service
370304020300,SOUTIEN ET INTERVENTIONS SPÉCIALISÉES SUD-OUEST,BUR,Service
370304020400,VIGIE DU TERRITOIRE,BUR,Service
370304030000,DIVISION DE LA CENTRALE 911,DIV,Service
370304030001,PLANIFICATION ET MODES OPÉRATIONNELS,INS,Service
370304040000,DIVISION DES PATROUILLES SPÉCIALISÉES ET DE LA SÉCURITÉ ROUT,SEC,Service
370304040001,BRIGADE SCOLAIRE,INS,Service
370304040100,INSPECTION DU REMORQUAGE,BUR,Service
370304040101,VÉRIFICATION DES ANTÉCÉDENTS,INS,Service
370304040200,SÉCURITÉ ROUTIÈRE,BUR,Service
370304040201,COORDINATION,INS,Service
370304040202,CONSEIL,INS,Service
370304040203,RADAR PHOTO,INS,Service
370304040204,ÉVALUATION DE DROGUES,INS,Service
370304040205,VDM CHANTIER DE CONSTRUCTION SÉCURITÉ ROUTIÈRE,INS,Service
370304040206,CADETS,INS,Service
370304040300,PATROUILLES SPÉCIALISÉES,BUR,Service
370304040301,ESCOUADE CANINE,INS,Service
370304040302,CAVALERIE,INS,Service
370304040303,NAUTIQUE,INS,Service
370304040304,MOTARD,INS,Service
370400010104,VÉRIFICATION DES ANTÉCÉDENTS,INS,Service
370401000101,ENQUÊTES SPÉCIALES,SEP,Service
370401000102,ENQUÊTES INTERNES,SEP,Service
370402010301,REGISTRAIRE ET LOGISTIQUE,BUR,Service
380000000000,AGENCE DE MOBILITÉ DURABLE,INS,Service
380000020000,SECTION BUREAU DE PROJETS TI,SEC,Service
380000060000,SECTION INTELLIGENCE D AFFAIRES,INS,Service
380002000000,DIRECTION GÉNÉRALE,DIV,Service
380010000000,APP. RÈGLEMENTATION STATIONNEMENT,DIV,Service
380020000000,SARS-BALAIS,DIV,Service
380030000000,SARS-PRÉPOSÉ AU REMORQUAGE,DIV,Service
380400000000,"DIR.COMMUNICATIONS,AFFAIRES PUBLIQUES,EXPÉRIENCE CLIENT",DIR,Service
380402000000,SECTION SERVICE À LA CLIENTÈLE ET EXPÉRIENCE CLIENT,DIV,Service
380600000000,DIRECTION FINANCES ET ADMINISTRATION,DIR,Service
380700000000,DIRECTION GESTION DU STATIONNEMENT ET DES IMMEUBLES,DIR,Service
380702000000,SECTION GESTION DE TERRAINS DE STATIONNEMENT,DIV,Service
380703000000,SECTION GESTION TARIFÉE SUR RUES,DIV,Service
380800000000,DIRECTION TECHNOLOGIES,DIR,Service
380802000000,SECTION BUREAU DE PROJETS TI,DIV,Service
380803000000,SECTION INTELLIGENCE D AFFAIRES,DIV,Service
380804000000,SECTION DÉVELOPPEMENT ET INTÉGRATION,DIV,Service
380805000000,SECTION SOLUTION D AFFAIRES ET INFRASTRUCTURES,DIV,Service
380900000000,DIRECTION STRATÉGIES D AFFAIRES ET DE MOBILITÉ,DIR,Service
380902000000,SECTION STRAGÉGIES DE MOBILITÉ,DIV,Service
381000000000,DIRECTION OPÉRATIONS D ENTRETIEN ET DE PERCEPTION,SEC,Service
381002000000,SECTION ENTRETIEN,DIV,Service
381003000000,SECTION GESTION DE LA FLOTTE,SEC,Service
381004000000,SECTION PERCEPTION ET TRIAGE,DIV,Service
381010000000,STATIONNEMENT MTL - SYSTÈMES DE GESTION,SEC,Service
381020000000,STATIONNEMENT MTL - EXPLOITATION ET RESEAU,SEC,Service
381100000000,DIR SURVEILLANCE ET CONTRÔLE DE STATIONNEMENT ET MOBILITÉ,DIR,Service
381102000000,SECTION OPÉRATIONS DE SURVEILLANCE ET CONTRÔLE,DIV,Service
381103000000,PRÉPOSÉS AU REMORQUAGE,DIV,Service
381200000000,DIRECTION RESSOURCES HUMAINES,DIR,Service
382000000000,STATIONNEMENT MTL - SERVICE AUXILIAIRES,DIV,Service
382010000000,STATIONNEMENT MTL-SERVICE CLIENTELE,SEC,Service
382020000000,STATIONNEMENT MTL - PLANIFICATION,SEC,Service
383000000000,STATIONNEMENT MTL - CONTREMAÎTRE,DIV,Service
383010000000,STATIONNEMENT MTL-ENTRETIEN,SEC,Service
383020000000,STATIONNEMENT MTL - COMPTAGE,SEC,Service
383030000000,STATIONNEMENT MTL - PERCEPTION,SEC,Service
390000000000,SERVICE DE L APPROVISIONNEMENT,SER,Service
390000010000,MISSION ET LOGISTIQUE (CCMU),SEC,Service
390002000000,DIVISION ARCHITECTURE D AFFAIRES ET DES PROJETS,DIV,Service
390002020000,SECTION EXPERTISE SYSTÈMES ET DÉVELOPPEMENT D AFFAIRES,SEC,Service
390002030000,SECTION BIENS SERVICES OUEST,SEC,Service
390002040000,SECTION DES SERVICES PROFESSIONNELS ET CONNEXES,SEC,Service
390002050000,SECTION BIENS SERVICES SUD,SEC,Service
390002060000,SECTION BIENS SERVICES - SERVICES CONSEILS,SEC,Service
390003000000,DIVISION DES RESSOURCES MATÉRIELLES B,DIV,Service
390004000000,DIVISION DES PRATIQUES D AFFAIRES,DIV,Service
390004020000,SECTION SOUTIEN AUX ACTIVITÉS DES PROCESSUS D AFFAIRES,DIV,Service
390004030000,"SECTION CENTRE D EXPERTISE, SYSTÈMES ET DOMAINE D AFFAIRES",SEC,Service
390004040000,SECTION RÉALISATION DE PROJETS ET CHANTIER D AMÉLIORATION,SEC,Service
390004050000,SECTION PLANIFICATION ET DÉVELOPPEMENT,SEC,Service
390005000000,DIVISION DES RESSOURCES MATÉRIELLES,DIV,Service
390005020000,SECTION A - ACTIVITÉS RESSOURCES MATÉRIELLES,SEC,Service
390005030000,SECTION B - BASSIN BONS DE COMMANDE ET ACT. RESS. MAT.,SEC,Service
390005040000,SECTION C - SOUTIEN AUX APPELS D OFFRES,SEC,Service
390005050000,SECTION D ACTIVITÉS RM,SEC,Service
390006000000,DIVISION LOGISTIQUE,DIV,Service
390006030000,SECTION DU CENTRE DE DISTRIBUTION,SEC,Service
390006050000,SECTION MAGASINS ET DÉPÔTSEST,SEC,Service
390006060000,SECTION MAGASINS ET DÉPÔTS ARRONDISSEMENT OUEST,SEC,Service
390006060002,BUREAU DE POSTE,BUR,Service
390006070000,BUREAU DE POSTE,SEC,Service
390009000000,DIVISION ÉQUIPE DE PROJET,DIV,Service
390009020000,ÉQUIPE DE PROJET,SEC,Service
390200000000,DIRECTION ACQUSITION,DIR,Service
390200020000,SECTION GOUVERNANCES ET DÉVELOPPEMENT,SEC,Service
390200030000,SECTION EXPÉRIENCE CLIENT,SEC,Service
390202000000,DIVISION ACQUISITION,DIV,Service
390202020000,IMMEUBLES MATÉRIEL ROULANT,SEC,Service
390202030000,SECTION INFORMATIQUE ET GRANDS PARCS,SEC,Service
390202040000,SECTON RÉAPROVISIONNEMENT ET BASSIN DE COMMANDES,SEC,Service
390202050000,SECTION IMMEUBLES ET ENVIRONNEMENT,SEC,Service
390202060000,SECTION ADMINISTRATION DES CONTRATS,SEC,Service
390202070000,"TP,URBANISME,SÉCURITÉ/INCENDIE,CULTURE ET COMMUNICATIONS",SEC,Service
390203000000,DIVISION ACQUISITION - GESTION DE CONTRAT,DIV,Service
390203020000,SEC ADM CONTRAT,SEC,Service
390203030000,"TRAVAUX PUBLICS, URBANISME, SÉCURITÉ INCENDIE ET CULTURE",SEC,Service
390203040000,SECTION EAU ET ADMINISTRATION,SEC,Service
390204000000,DIVISION EXPÉRIENCE CLIENT ET PRATIQUES,DIV,Service
390204020000,EXPÉRIENCE CLIENT,SEC,Service
390204030000,BASSIN DE COMMANDES,SEC,Service
390300000000,DIRECTION CHAINE LOGISTIQUE,DIR,Service
390302000000,DIVISION PLANIFICATION,DIV,Service
390302020000,SECTION GESTION DES DONNÉES ET PROJETS,SEC,Service
390302020200,BUREAU DE POSTE,BUR,Service
390302030000,SECTION PLANIFICATION LOGISTIQUE,SEC,Service
390302030200,MAXIMO,BUR,Service
390303000000,DIVISION OPÉRATION LOGISTIQUE,DIV,Service
390303020000,SECTION SPÉCIALISÉE,SEC,Service
390303030000,SECTION SUD-EST,SEC,Service
390303040000,SECTION NORD-EST,SEC,Service
390303050000,SECTION DES SERVICES DE PROXIMITÉS,SEC,Service
390303060000,SECTION SUD-OUEST,SEC,Service
390303070000,SECTION CENTRES DE DISTRIBUTION ET TRANSPORT DES BIENS,SEC,Service
390303080000,SECTION NORD-OUEST,SEC,Service
390304000000,DIVISION CHANTIER D AMÉLIORATION DE LA CHAINE LOGISTIQUE,DIV,Service
390400000000,DIRECTION ARCHITECTURE ET DÉVELOPPEMENT D AFFAIRES,DIR,Service
390403000000,DIVISION GOUVERNANCE ET NORMALISATION,DIV,Service
390404000000,DIVISION SYSTÈMES ET PROJETS,DIV,Service
390405000000,DIVISION DÉVELOPPEMENT D AFFAIRES ET FORMATION,DIV,Service
410000000000,SERVICE DES AFFAIRES JURIDIQUES,SER,Service
410000000002,AFFAIRES POLICIÈRES - AGGLO.,BUR,Service
410002000000,DIVISION SOUTIEN ET PROCESSUS - AFFAIRES JURIDIQUES,DIV,Service
410002030000,SECTION SOUTIEN GÉNÉRAL,SEC,Service
410002040000,SECTION DU SOUTIEN À LA MAGISTRATURE,SEC,Service
410003000000,DIVISION DES AFFAIRES POLICIÈRES,DIV,Service
410004000000,DIVISION DROIT DU TRAVAIL,DIV,Service
410004020000,SECTION RECOURS PARTICULIERS ET MANDATS EXTERNES,SEC,Service
410005000000,DIVISION PERCEPTION ET SERVICES À LA CLIENTÈLE,DIV,Service
410005020000,SECTION EXÉCUTION DES JUGEMENT,SEC,Service
410005030000,SECTION COMPTOIRS ET POINTS DE SERVICE,SEC,Service
410005030200,PDS-EST DE ILE,BUR,Service
410005030300,PDS-NORD ILE,BUR,Service
410005030400,PDS- SUD ILE,BUR,Service
410005040000,SECTION CENTRE D APPELS ET DU COURRIER,SEC,Service
410006000000,DIVISION DU GREFFE,DIV,Service
410006020000,SECTION DU GREFFE,SEC,Service
410006030000,SECTION DU SOUTIEN À L AUDIENCE,SEC,Service
410200000000,MAGISTRATURE,DIR,Service
410300000000,DIRECTION DES AFFAIRES CIVILES,DIR,Service
410303000000,DIVISION DU DROIT PUBLIC ET DE LA LÉGISLATION,DIV,Service
410304000000,DIVISION DU DROIT CONTRACTUEL,DIV,Service
410305000000,DIVISION RESPONSABILITÉ,DIV,Service
410306000000,"DIVISION DU DROIT FISCAL, ÉVALUATION ET TRANSACTIONS FINANCI",DIV,Service
410307000000,BUREAU DES RECLAMATIONS,DIV,Service
410308000000,DIVISION LITIGE CONTRACTUEL,DIV,Service
410309000000,DIVISION DU DROIT NOTARIAL,DIV,Service
410500000000,DIRECTION DES SERVICES JUDICIAIRES,DIR,Service
410503000000,DIVISION DE LA PERCEPTION ET DES SERVICES À LA CLIENTÈLE,DIV,Service
410503020000,SECTION DE L EXÉCUTION DES JUGEMENTS,SEC,Service
410503030000,SECTION DES COMPTOIRS ET DES POINTS DE SERVICE,SEC,Service
410503030400,PDS - EST DE L ÎLE,INS,Service
410503030500,PDS - NORD DE L ÎLE,INS,Service
410503030700,PDS - SUD DE L ÎLE,INS,Service
410503040000,SECTION DU CENTRE D APPELS ET DU COURRIER,SEC,Service
410504000000,DIVISION DU GREFFE,DIV,Service
410504030000,SECTION DU GREFFE,SEC,Service
410504040000,SECTION DU SOUTIEN À LA MAGISTRATURE,SEC,Service
410504050000,SECTION DU SOUTIEN À L AUDIENCE,SEC,Service
410600000000,DIRECTION DES POURSUITES PÉNALES ET CRIMINELLES,DIR,Service
410602000000,DIVISION DU DROIT CRIMINEL,DIV,Service
410603000000,DIVISION DU DROIT PÉNAL,DIV,Service
410604000000,DIVISION DES PROCÉDURES JUDICIAIRES,DIV,Service
410605000000,DIVISION DES PROGRAMMES SOCIAUX,DIV,Service
410606000000,DIVISION DES PROCÉDURES ADMINISTRATIVES,DIV,Service
410700000000,"DIR PROJETS SPÉCIAUX,SOUTIEN GÉNÉRAL ET SERVICES À LA CLIENT",DIR,Service
410702000000,DIV.SOUT.ADM.ET OPÉRATIONNEL - AFFAIRES JURIDIQUE,DIV,Service
410702030000,SECTION SOUTIEN GÉNÉRAL,SEC,Service
410702040000,SOUT MAGISTRAT,SEC,Service
410703000000,DIVISION SERVICE CLIENTELE,DIV,Service
410703030000,COMPT PT SERV,SEC,Service
410703030200,PDS EST ILE,BUR,Service
410703030300,PDS NORD ILE,BUR,Service
410703030400,PDS SUD ILE,BUR,Service
410703040000,CTR APPEL COURR,SEC,Service
410704000000,DIVISION PERCEPTION DES AMENDES,DIV,Service
410704020000,SECTION ÉMISSION DES PROCÉDURES,SEC,Service
420000000000,SERVICE DES TECHNOLOGIES DE L INFORMATION,SER,Service
420000000002,PERSONNEL SUR MANDATS,BUR,Service
420000000003,POSTES VACANTS,BUR,Service
420000000004,COORDINATION AVEC LES ARRONDISSEMENTS,BUR,Service
420002000000,CONTRÔLE ET AMÉLIORATION CONTINUE,DIV,Service
420004000000,DIVISION SERVICES AUX UTILISATEURS,DIV,Service
420004010000,DIVISION SERVICES AUX UTILISATEURS - GESTION,DIV,Service
420004020000,SECTION SOUTIEN INFORMATIQUE AUX ARRONDISSEMENTS,SEC,Service
420004030000,SECTION CENTRE DE SERVICES,SEC,Service
420004040000,SECTION SERVICES SPÉCIALISÉS,SEC,Service
420005000000,DIV.DÉVELOPPEMENT DE LA FONCTION TI ET LIAISON AVEC CLIENT.,DIV,Service
420006000000,DIVISION RÉALISATION DE PROJETS TI,DIV,Service
420006020000,SECTION SOUTIEN AUX PROJETS,SEC,Service
420006050000,SECTION PROGRAMME INFRASTRUCTURE,SEC,Service
420006060000,SECTION PROGRAMME SYSTÈMES ADMINISTRATIFS ET CES,SEC,Service
420007000000,DIVISION EXPLOITATION ET ÉVOLUTION DES APPLICATIONS,DIV,Service
420007010000,DIVISION EXPLOITATION ÉVOLUTION DES APPLICAITONS - GESTION,DIV,Service
420007010200,SOUTIEN TI DÉEA - SERVICE DE L EAU,SEC,Service
420007030000,SEC.ÉVOLUTION DES APPLICATIONS ADMINISTRATIVES,SEC,Service
420007040000,SECTION RÉALISATION PLATEFORME ORACLE,SEC,Service
420007070000,SECTION RÉALISATION MULTIPLATEFORMES,SEC,Service
420008000000,DIVISION TECHNOLOGIES,DIV,Service
420008010000,DIVISION TECHNOLOGIE - GESTION,DIV,Service
420008020000,SECTION CENTRE D EXPERTISE EN TÉLÉCOMMUNICATIONS,SEC,Service
420008030000,SEC.SERVEURS CORPO. CENTRAUX ET PRODUCTION AUTOMATISÉE,SEC,Service
420008070000,SEC.CENTRE D OPÉRATION DES SERVEURS ET SALLES DE TRAITEMENT,SEC,Service
420008080000,SECTION SÉCURITÉ DE L INFORMATION ET MEILLEURES PRATIQUES,SEC,Service
420008090000,SECTION CENTRE D EXPERTISE EN RADIOCOMMUNICATIONS,SEC,Service
420009000000,DIVISION SOLUTIONS NUMÉRIQUES,DIV,Service
420010000000,CENTRE DE SERVICES TI,DIV,Service
420011000000,ARCHITECTURE ET SÉCURITÉ,DIV,Service
420011020000,SECTION SÉCURITÉ INFORMATIQUE,SEC,Service
420200000000,BUREAU DE PROJETS TI,DIR,Service
420200000200,LIVRAISON DE PROJETS TI,BUR,Service
420200020000,GESTION DU PORTEFEUILLE,SEC,Service
420202000000,DIVISION PORTEFEUILLE TI GLOBAL ET PRATIQUES,DIV,Service
420203000000,"DIVISION DEMANDES, CAPACITÉ ET PERFECTIONNEMENT",DIV,Service
420206020000,SECTION EXÉCUTION DES PROJETS - TÉLÉCOMMUNICATIONS,DIV,Service
420208000000,DIVISION PORTEFEUILLE - BUREAUTIQUE,DIV,Service
420208020000,SECTION EXÉCUTION DES PROJETS - BUREAUTIQUE,DIV,Service
420212000000,DIVISION PORTEFEUILLE-INSTITUTIONNELLE ET ESPACE DE TRAVAIL,DIV,Service
420212020000,SECTION EXÉCUTION DES PROJETS - BUREAUTIQUE,SEC,Service
420212030000,SECTION EXÉCUTION DES PROJETS - AFFAIRES INSTITUTIONNELLES,SEC,Service
420213000000,"DIV PORTEFEUILLE - SÉCURITÉ, INFRASTRUCTURE ET CONNECTIVITÉ",DIV,Service
420213020000,SECTION EXÉCUTION DES PROJETS - CONNECTIVITÉ,SEC,Service
420213040000,SECTION EXÉCUTION DES PROJETS - INFRASTRUCTURES ET SÉCURITÉS,SEC,Service
420214000000,DIVISION PORTEFEUILLE - NUMÉRIQUE ET TERRITOIRE,DIV,Service
420214020000,SECTION EXÉCUTION DES PROJETS - NUMÉRIQUES,SEC,Service
420214030000,SECTION EXÉCUTION DES PROJETS - DONNÉES ET TERRITROIRE,SEC,Service
420215000000,DIVISION PORTEFEUILLE SÉCURITÉ PUBLIQUE ET JUSTICE,DIV,Service
420215020000,SECTION EXÉCUTION DE PROJETS SÉCURITÉ PUBLIQUE ET JUSTICE,SEC,Service
420300000200,SOLUTIONS D ENTREPRISE,DIV,Service
420400000000,DIRECTION SÉCURITÉ PUBLIQUE ET JUSTICE,DIR,Service
420400000002,SOLUTIONS MESURES D URGENCES ET SÉCURITÉ PUBLIQUE,BUR,Service
420400000200,SOLUTIONS SERVICES D URGENCE,BUR,Service
420402000000,DIVISION SOLUTIONS SIM,DIV,Service
420403000000,DIVISIONS SOLUTIONS COUR MUNICIPALE,DIV,Service
420404000000,DIVISION SOLUTIONS SYSTÈMES D URGENCE,DIV,Service
420405000000,DIVISION SOLUTION SPVM,DIV,Service
420405020000,SECTION M-IRIS,SEC,Service
420600000000,DIRECTION ENGAGEMENT NUMÉRIQUE,DIR,Service
420600000200,CENTRE D EXPERTISE NUMÉRIQUE,BUR,Service
420600000300,SOLUTIONS À LA CLIENTÈLE,BUR,Service
420600000400,"SOLUTIONS SPORTS, LOISIRS, ESPACE POUR LA VIE ET CULTURE",BUR,Service
420602000000,DIVISION SOLUTIONS NUMÉRIQUES SERVICES À LA POPULATION,DIV,Service
420603000000,DIVISION SOLUTIONS NUMÉRIQUES CULTURELLES,DIV,Service
420603000002,SOLUTIONS SERVICES À LA CLIENTÈLE - AGGLO,BUR,Service
420604000000,DIVISION SOLUTIONS NUMÉRIQUES MILIEU DE VIE,DIV,Service
420605000000,DIVISION ARCHITECTURE ET CENTRE D EXPERTISE NUMÉRIQUE,DIV,Service
420605020000,SECTION CENTRE D EXPERTISE NUMÉRIQUE,SEC,Service
420606000000,DIVISION SOLUTIONS NUMÉRIQUES SERVICES AU PERSONNEL,DIV,Service
420700000200,PLANIFICATION DE L INFRASTRUCTURE,BUR,Service
420803000000,DIVISION SERVICES AUX UTILISATEURS,DIV,Service
420803000200,BUREAU CENTRE,BUR,Service
420804000000,SOLUTIONS AUX UTILISATEURS,DIV,Service
420806030000,SECTION GESTION - INCIDENTS MAJEURS,SEC,Service
420900000000,CENTRE D EXPERTISE - INTELLIGENCE D AFFAIRES,DIR,Service
421100000000,DIRECTION SÉCURITÉ DE L INFORMATION,DIR,Service
421102000000,DIVISION GOUVERNANCE ET GESTION DES RISQUES,DIV,Service
421103000000,DIVISION INFRASTRUCTURE ET OPÉRATION DE SÉCURITÉ,DIV,Service
421103000002,SÉCURITÉ DES TECHNOLOGIES OPÉRATIONNELLES,BUR,Service
421104000000,"DIV ARCHITECTURE D ENTREPRISE-INFRA,TÉLÉCOM,SÉCURITÉ ET OPS",DIV,Service
421200000000,DIRECTION GESTION DU TERRITOIRE,DIR,Service
421202000000,"DIVISION SOLUTIONS VOIRIE, PARCS ET INFRASTRUCTURE",DIV,Service
421203000000,DIVISION GESTION DE L EAU,DIV,Service
421204000000,DIVISION INTELLIGENCE D AFFAIRES ET GÉOMATIQUE,DIV,Service
421204020000,CENTRE D EXPERTISE EN INTELLIGENCE D AFFAIRES,SEC,Service
421303020000,SECTION CENTRE D OPÉRATION RÉSEAU,SEC,Service
421400000000,DIRECTION TECHNOLOGIE ET ARCHITECTURE,DIR,Service
421402000000,ARCHITECTURE D ENTREPRISE DONNÉES ET IA2,DIV,Service
421403000000,ARCHITECTURE D ENTREPRISE - SOLUTIONS GESTION DU TERRITOIRE,DIV,Service
421404000000,ARCHITECTURE D ENTREPRISE TÉLÉCOMMUNICATIONS,DIV,Service
421405000000,ARCHITECTURE D ENTREPRISE SÉCURITÉ PUBLIQUE ET JUSTICE,DIV,Service
421406000000,DIVISION ARCHITECTURE D ENTREPRISE - AFFAIRES INSTITUTIONNEL,DIV,Service
421407000000,ARCHITECTURE D ENTREPRISE ESPACES DE TRAVAIL,DIV,Service
421408000000,ARCHITECTURE D ENTREPRISE INFRASTRUCTURES ET PLATEFORMES,DIV,Service
421410000000,DIVISION ENCADREMENTS ET ÉVOLUTION DES FEUILLES DE ROUTES TI,DIV,Service
421410020000,SECTION GESTION DE L INFORMATIQUE GRISE,SEC,Service
421500000000,DIRECTION INFRASTRUCTURES TECHNOLOGIQUES,DIR,Service
421502000000,DIVISION INFRASTRUCTURES TECHNOLOGIQUES,DIV,Service
