an_profil,an_donnee,cod_mrc,nom_mrc,PRC0320,PRC3120,PRC4320,PRC3220,PRC4420,PRC2720,PRC3520,PRC3620,PRC2820,PRC2920,PRC3720,PRC2520,PRC2120,PRC3820,PRC0120,PRC3020,PRC4520,PRC0220,PRC3920,PRC4020,PRC4220
2020,2019,AR760,Argenteuil,0.015100,1948.000000,3069.000000,1554.000000,2267.000000,0.761500,0.646300,0.115200,0.022300,0.062500,0.153700,0.212000,0.572600,0.058900,0.015200,1964.000000,3094.000000,0.186500,0.300700,1.021700,1704.000000
2020,2019,AR770,Les Pays-d'en-Haut,0.012200,2465.000000,3422.000000,2073.000000,2786.000000,0.811800,0.660900,0.150900,0.006100,0.031200,0.150900,0.123700,0.542100,0.055000,0.012800,2586.000000,3590.000000,0.128000,0.357400,0.925400,2396.000000
2020,2019,AR780,Les Laurentides,0.013000,2436.000000,3353.000000,2001.000000,2615.000000,0.743600,0.620900,0.122600,0.015300,0.077000,0.164200,0.229300,0.619500,0.047500,0.013200,2458.000000,3384.000000,0.141100,0.305600,0.957800,2163.000000
2020,2019,AR790,Antoine-Labelle,0.017100,2332.000000,2943.000000,1598.000000,1922.000000,0.654500,0.503600,0.150900,0.057000,0.122300,0.166200,0.213800,0.555100,0.045900,0.013100,1783.000000,2250.000000,0.090200,0.289100,1.073800,1521.000000
2020,2019,AR800,Papineau,0.014500,2142.000000,2758.000000,1644.000000,2040.000000,0.741000,0.618400,0.122600,0.019500,0.119300,0.120300,0.240300,0.572100,0.048900,0.009300,1376.000000,1772.000000,0.142600,0.209800,1.042000,1756.000000
2020,2019,AR811,Hors MRC - Gatineau,0.020800,7347.000000,5427.000000,4865.000000,3497.000000,0.619500,0.580100,0.039400,0.089200,0.096300,0.195000,0.252800,0.604400,0.049500,0.015500,5463.000000,4035.000000,0.164300,0.276100,1.222800,2446.000000
2020,2019,AR820,Les Collines-de-l'Outaouais,0.012100,2605.000000,3607.000000,2037.000000,2663.000000,0.761600,0.664700,0.096900,0.025500,0.070000,0.142900,0.103300,0.712900,0.082800,0.015200,3264.000000,4519.000000,0.118700,0.376800,0.897900,2478.000000
2020,2019,AR830,La Vallee-de-la-Gatineau,0.017300,1960.000000,2705.000000,1400.000000,1846.000000,0.675400,0.495100,0.180300,0.024700,0.202900,0.097000,0.159500,0.559000,0.042100,0.009100,1036.000000,1430.000000,0.136900,0.180700,1.167900,1597.000000
2020,2019,AR840,Pontiac,0.013600,1653.000000,2453.000000,1101.000000,1538.000000,0.614000,0.495700,0.118300,0.050100,0.259200,0.076700,0.360000,0.538700,0.042000,0.002800,338.000000,501.000000,0.059000,0.095000,0.860900,1281.000000
2020,2019,AR850,Temiscamingue,0.023100,2806.000000,3567.000000,1882.000000,2174.000000,0.623300,0.487200,0.136100,0.037800,0.149600,0.189300,0.320200,0.541100,0.044000,0.015500,1886.000000,2398.000000,0.148500,0.173400,1.391400,1623.000000
2020,2019,AR861,Hors MRC - Rouyn-Noranda,0.019100,4113.000000,3798.000000,2964.000000,2460.000000,0.671300,0.561300,0.110000,0.053600,0.095800,0.179300,0.180900,0.617300,0.078600,0.027100,5849.000000,5401.000000,0.162100,0.418700,1.063800,1753.000000
