an_profil,an_donnee,cod_geo_n,nom_mun,designation,population,classe_population,cod_mrc,nom_mrc,cod_ra,nom_ra,cod_cm,nom_cm,RFU3000,RFU3001,RFU0700,RFU0702,PRR0202,PRR0203,RFU0400,RFU0401,RFU0500,RFU0501,RFU0600,RFU0601,PRC1400,PRC1401,PRC1500,PRC1501,PRC1600,PRC1601,PRC2200,PRC2201,PRC2300,PRC2000,RAT0130,RAT0131,IND0102,RFU3002,RFU3003
2020,2020,07030,Saint-Leon-le-Grand,P,946,1 @ 1 999,AR070,La Matapedia,01,Bas-Saint-Laurent,,,65701238.400000,,64734012.000000,,37949256.000000,,13734036.000000,,12333924.000000,,716796.000000,,0.586200,,0.212200,,0.190500,,0.011100,,96950.000000,89488.000000,91890.000000,,68.000000,715.000000,
2020,2020,07035,Saint-Zenon-du-Lac-Humqui,P,352,1 @ 1 999,AR070,La Matapedia,01,Bas-Saint-Laurent,,,34116386.000000,,34085076.000000,,17665304.000000,,13513598.000000,,2357643.000000,,548531.000000,,0.518300,,0.396500,,0.069200,,0.016100,,80922.000000,70036.000000,62370.000000,,46.000000,547.000000,
2020,2020,07040,Sainte-Irene,P,320,1 @ 1 999,AR070,La Matapedia,01,Bas-Saint-Laurent,,,50120666.580000,,49928466.000000,,29449848.000000,,13102476.000000,,6687924.000000,,688218.000000,,0.589800,,0.262400,,0.134000,,0.013800,,130814.000000,109330.000000,93683.000000,,70.000000,535.000000,
2020,2020,07047,Amqui,V,6065,2 000 @ 9 999,AR070,La Matapedia,01,Bas-Saint-Laurent,,,517750237.000000,,484907000.000000,,364367400.000000,,86865700.000000,,27585900.000000,,6088000.000000,,0.751400,,0.179100,,0.056900,,0.012600,,165329.000000,122554.000000,180275.000000,,84.000000,2872.000000,
2020,2020,07057,Lac-au-Saumon,M,1400,1 @ 1 999,AR070,La Matapedia,01,Bas-Saint-Laurent,,,81796509.080000,,73023930.000000,,51010804.000000,,11919912.000000,,9111230.000000,,981984.000000,,0.698500,,0.163200,,0.124800,,0.013400,,104092.000000,87836.000000,100983.000000,,75.000000,810.000000,
2020,2020,07065,Saint-Alexandre-des-Lacs,P,284,1 @ 1 999,AR070,La Matapedia,01,Bas-Saint-Laurent,,,20989320.000000,,20989320.000000,,11643500.000000,,7550180.000000,,1465970.000000,,329670.000000,,0.554700,,0.359700,,0.069800,,0.015700,,102438.000000,86052.000000,66212.000000,,49.000000,317.000000,
2020,2020,07070,Saint-Tharcisius,P,422,1 @ 1 999,AR070,La Matapedia,01,Bas-Saint-Laurent,,,26839254.420000,,26377956.000000,,11295900.000000,,7530930.000000,,7119387.000000,,431739.000000,,0.428200,,0.285500,,0.269900,,0.016400,,81187.000000,78684.000000,91915.000000,,69.000000,292.000000,
2020,2020,07075,Saint-Vianney,M,433,1 @ 1 999,AR070,La Matapedia,01,Bas-Saint-Laurent,,,32608782.960000,,32130488.000000,,14619384.000000,,15399488.000000,,1917968.000000,,193648.000000,,0.455000,,0.479300,,0.059700,,0.006000,,89989.000000,73968.000000,71043.000000,,53.000000,459.000000,
2020,2020,07080,Val-Brillant,M,900,1 @ 1 999,AR070,La Matapedia,01,Bas-Saint-Laurent,,,86827948.950000,,85667238.000000,,63277410.000000,,6722694.000000,,13398876.000000,,2268258.000000,,0.738600,,0.078500,,0.156400,,0.026500,,143990.000000,119960.000000,117019.000000,,87.000000,742.000000,
2020,2020,07085,Sayabec,M,1752,1 @ 1 999,AR070,La Matapedia,01,Bas-Saint-Laurent,,,142707581.880000,,138157164.000000,,74227542.000000,,54628446.000000,,7403772.000000,,1897404.000000,,0.537300,,0.395400,,0.053600,,0.013700,,109133.000000,87612.000000,133123.000000,,99.000000,1072.000000,
