id_entente,date_signature_sys,nom_entente,arrondissement,adr_emplacement,lot,superf_resid_ajout,nb_log_ajout,contrib_social_fin,mnt_contrib_social_fin,contrib_social_tss,superf_resid_social_tss,prix_achat_tss,contrib_social_ths,superf_resid_social_prevu_ths,prix_achat_ths,contrib_social_cem,contrib_abord_fin,mnt_contrib_abord_fin,real_log_abord_ss,superf_tot_ss_entente,real_log_abord_hs,superf_tot_hs_entente,nb_log_famil_scdp
"1000199","2022-06-27",,"Rosemont - La Petite-Patrie",,"2788805",675,9,"Oui",9686,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000468","2023-11-02",,"Ville-Marie","2359, boulevard De Maisonneuve Est, H2K2E6","2788335",548,4,"Oui",3350,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000013","2022-11-18","Grace Dart","Mercier - Hochelaga-Maisonneuve",,"3387296",24410,299,"Non",,"Oui",4882,1091859,"Non",,,"Non","Oui",518550,"Non",,"Non",,30
"1000056","2022-02-16","3410-3412, Avenue Bourbonnière","Rosemont - La Petite-Patrie",,"6323114",1122,16,"Oui",28929.6,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000514","2023-11-24",,"Anjou","6480, avenue Azilda, H1K2Z9","1450001",629,4,"Oui",4539,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000554","2024-04-29","2500 HB","Ahuntsic - Cartierville",,"6562586,6562581,6562582,6562583,6562589,6562588,6562587,6562584,6562585",3175,28,"Oui",108952,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000566","2024-04-30","Ste-Cathy's","Ville-Marie","1472, rue Sainte-Catherine Ouest, H3G1S8","2341771",6356,134,"Oui",482518,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,7
"1000327","2022-10-27","590 Viau","Mercier - Hochelaga-Maisonneuve",,"5011941,5011940",1284,20,"Oui",27147,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000198","2022-08-10",,"Le Plateau-Mont-Royal","26, rue Bernard Est, H2T1A3","2166166",839,6,"Oui",16746,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000108","2022-04-19","3199 à 3211, boulevard Édouard-Montpetit","Côte-des-Neiges - Notre-Dame-de-Grâce","3211, boulevard Édouard-Montpetit, H3T1K3","1424727,1424728",646,5,"Oui",6380,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
