"Code de la
municipalité";Nom de la municipalité;"Type de
municipalité";"Code
de la
MRC";Nom de la MRC;"Code de la
région
administrative";"Nom de la région
administrative";"Code de
l'arrondissement";Nom de l'arrondissement;Nom du district électoral;"Identifiant
du poste";"Code
du
type
de
poste";Type de poste;Nom;Prénom;Sexe;Sortant;"Nom du parti ou de
l'équipe";"Nombre
d'électeurs";"Nombre
de votes
reçus
par le
candidat";"Nombre
de
votes
rejetés";"Statut du
candidat"
02028;Chandler;Ville;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ;Saint-François;6;CV;Conseiller;Travers;Monique;F;"Nouveau
candidat"; ;827;103;0;Non élu
02028;Chandler;Ville;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ;Saint-François;6;CV;Conseiller;Duguay;Monique;F;"Nouveau
candidat"; ;827;74;0;Non élu
02047;Port-Daniel—Gascons;Municipalité;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;0;MA;Maire;Grenier;Henri;M;"Sortant
(même
poste)"; ;2121;0;.;"Élu sans
opposition"
02047;Port-Daniel—Gascons;Municipalité;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;1;CV;Conseiller;Beaudin;François;M;"Nouveau
candidat"; ;383;146;0;Élu
02047;Port-Daniel—Gascons;Municipalité;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;1;CV;Conseiller;Dea;Richard;M;"Nouveau
candidat"; ;383;55;0;Non élu
02047;Port-Daniel—Gascons;Municipalité;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;2;CV;Conseiller;Castilloux;Jo-Annie;F;"Nouveau
candidat"; ;403;163;2;Élu
02047;Port-Daniel—Gascons;Municipalité;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;2;CV;Conseiller;Langlois;Mireille;F;"Sortant
(même
poste)"; ;403;96;2;Non élu
02047;Port-Daniel—Gascons;Municipalité;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;3;CV;Conseiller;Langlois;Denis;M;"Sortant
(même
poste)"; ;350;169;1;Élu
02047;Port-Daniel—Gascons;Municipalité;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;3;CV;Conseiller;Langlois;Louis Cleodore;M;"Nouveau
candidat"; ;350;40;1;Non élu
02047;Port-Daniel—Gascons;Municipalité;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;4;CV;Conseiller;Blais;Marc-Aurele;M;"Sortant
(même
poste)"; ;266;132;1;Élu
02047;Port-Daniel—Gascons;Municipalité;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;4;CV;Conseiller;Parisé;Alfred;M;"Nouveau
candidat"; ;266;48;1;Non élu
02047;Port-Daniel—Gascons;Municipalité;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;5;CV;Conseiller;Allain;Marie-Ève;F;"Sortant
(même
poste)"; ;386;130;2;Élu
02047;Port-Daniel—Gascons;Municipalité;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;5;CV;Conseiller;Huard;Daniel;M;"Nouveau
candidat"; ;386;102;2;Non élu
02047;Port-Daniel—Gascons;Municipalité;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;6;CV;Conseiller;Blais;Sylvie;F;"Sortant
(même
poste)"; ;333;159;3;Élu
02047;Port-Daniel—Gascons;Municipalité;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;6;CV;Conseiller;Anglehart;Anie;F;"Nouveau
candidat"; ;333;58;3;Non élu
03005;Gaspé;Ville;030;La Côte-de-Gaspé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;0;MA;Maire;Côté;Daniel;M;"Sortant
(même
poste)"; ;12268;0;.;"Élu sans
opposition"
03005;Gaspé;Ville;030;La Côte-de-Gaspé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;1;CV;Conseiller;Denis;Mathieu;M;"Nouveau
candidat"; ;1097;378;0;Élu
03005;Gaspé;Ville;030;La Côte-de-Gaspé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;1;CV;Conseiller;Mathurin;Carmelle;F;"Sortant
(même
poste)"; ;1097;235;0;Non élu
03005;Gaspé;Ville;030;La Côte-de-Gaspé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;2;CV;Conseiller;Cotton;Reginald;M;"Sortant
(même
poste)"; ;2170;0;.;Désistement
03005;Gaspé;Ville;030;La Côte-de-Gaspé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;2;CV;Conseiller;Noël;Jean-Michel;M;"Nouveau
candidat"; ;2170;0;.;"Élu sans
opposition"
03005;Gaspé;Ville;030;La Côte-de-Gaspé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;3;CV;Conseiller;Giroux Bossé;Charlie-Maude;F;"Nouveau
candidat"; ;1413;411;3;Élu
03005;Gaspé;Ville;030;La Côte-de-Gaspé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;3;CV;Conseiller;O'Connor;Nelson;M;"Sortant
(même
poste)"; ;1413;267;3;Non élu
03005;Gaspé;Ville;030;La Côte-de-Gaspé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;4;CV;Conseiller;Côté;Réal;M;"Nouveau
candidat"; ;2085;515;1;Élu
03005;Gaspé;Ville;030;La Côte-de-Gaspé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;4;CV;Conseiller;Fournier;Marcel;M;"Sortant
(même
poste)"; ;2085;314;1;Non élu
03005;Gaspé;Ville;030;La Côte-de-Gaspé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;5;CV;Conseiller;Keays;James;M;"Nouveau
candidat"; ;2218;546;0;Élu
03005;Gaspé;Ville;030;La Côte-de-Gaspé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;5;CV;Conseiller;Perry;Aline;F;"Sortant
(même
poste)"; ;2218;415;0;Non élu
03005;Gaspé;Ville;030;La Côte-de-Gaspé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;6;CV;Conseiller;Smith;Ghislain;M;"Sortant
(même
poste)"; ;3285;540;1;Élu
03005;Gaspé;Ville;030;La Côte-de-Gaspé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;6;CV;Conseiller;Desrosiers;Pierre;M;"Nouveau
candidat"; ;3285;325;1;Non élu
03010;Cloridorme;Canton;030;La Côte-de-Gaspé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;0;MA;Maire;Martin;Pierre;M;"Nouveau
candidat"; ;582;0;.;"Élu sans
opposition"
03010;Cloridorme;Canton;030;La Côte-de-Gaspé;11;Gaspésie—Îles-de-la-Madeleine;.; ;de la Frégate;1;CV;Conseiller;Dupuis;Josette;F;"Nouveau
candidat"; ;75;0;.;"Élu sans
opposition"
03010;Cloridorme;Canton;030;La Côte-de-Gaspé;11;Gaspésie—Îles-de-la-Madeleine;.; ;des Anses;2;CV;Conseiller;Mainville;Marcel;M;"Sortant
(même
poste)"; ;106;0;.;"Élu sans
opposition"
03010;Cloridorme;Canton;030;La Côte-de-Gaspé;11;Gaspésie—Îles-de-la-Madeleine;.; ;du Havre;3;CV;Conseiller;Fournier;Michèle;F;"Sortant
(autre
poste)"; ;90;0;.;"Élu sans
opposition"
03010;Cloridorme;Canton;030;La Côte-de-Gaspé;11;Gaspésie—Îles-de-la-Madeleine;.; ;de l' Église;4;CV;Conseiller;Cloutier;Nancy;F;"Sortant
(même
poste)"; ;98;43;0;Élu
03010;Cloridorme;Canton;030;La Côte-de-Gaspé;11;Gaspésie—Îles-de-la-Madeleine;.; ;de l' Église;4;CV;Conseiller;Coté;Nathalie;F;"Nouveau
candidat"; ;98;22;0;Non élu
03010;Cloridorme;Canton;030;La Côte-de-Gaspé;11;Gaspésie—Îles-de-la-Madeleine;.; ;de St-Yvon Ouest;5;CV;Conseiller;Poirier;Normand;M;"Sortant
(même
poste)"; ;113;54;3;Élu
03010;Cloridorme;Canton;030;La Côte-de-Gaspé;11;Gaspésie—Îles-de-la-Madeleine;.; ;de St-Yvon Ouest;5;CV;Conseiller;Deschesnes;Gilles;M;"Nouveau
candidat"; ;113;25;3;Non élu
03010;Cloridorme;Canton;030;La Côte-de-Gaspé;11;Gaspésie—Îles-de-la-Madeleine;.; ;de la Torpille;6;CV;Conseiller;Boulay;Josée;F;"Sortant
(même
poste)"; ;100;44;0;Élu
03010;Cloridorme;Canton;030;La Côte-de-Gaspé;11;Gaspésie—Îles-de-la-Madeleine;.; ;de la Torpille;6;CV;Conseiller;Coulombe;Bernard;M;"Nouveau
candidat"; ;100;28;0;Non élu
03015;Petite-Vallée;Municipalité;030;La Côte-de-Gaspé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;0;MA;Maire;Clavet;Mélanie;F;"Sortant
(même
poste)"; ;0;.;.;"Élu sans
opposition"
03015;Petite-Vallée;Municipalité;030;La Côte-de-Gaspé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;1;CV;Conseiller;Clavet;Paul-André;M;"Sortant
(même
poste)"; ;0;.;.;"Élu sans
opposition"
03015;Petite-Vallée;Municipalité;030;La Côte-de-Gaspé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;2;CV;Conseiller;Tait;Monika;F;"Sortant
(même
poste)"; ;0;.;.;"Élu sans
opposition"
03015;Petite-Vallée;Municipalité;030;La Côte-de-Gaspé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;3;CV;Conseiller; ; ; ; ; ;.;.;.;"Poste
vacant"
03015;Petite-Vallée;Municipalité;030;La Côte-de-Gaspé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;4;CV;Conseiller;Coulombe;André;M;"Sortant
(même
poste)"; ;0;.;.;"Élu sans
opposition"
