District,Bureau,Candidat1,Vote1,Candidat2,Vote2,Candidat3,Vote3,Candidat4,Vote4,Candidat5,Vote5,Rejetes
8,182,René COIGNAUD,34,Marcel PÉPIN,17,Pierre SAMSON,19,Cédric TESSIER,30,,0,6
8,183,René COIGNAUD,20,Marcel PÉPIN,18,Pierre SAMSON,24,Cédric TESSIER,25,,0,5
8,184,René COIGNAUD,11,Marcel PÉPIN,19,Pierre SAMSON,18,Cédric TESSIER,34,,0,4
8,185,René COIGNAUD,14,Marcel PÉPIN,10,Pierre SAMSON,37,Cédric TESSIER,31,,0,3
8,186,René COIGNAUD,23,Marcel PÉPIN,10,Pierre SAMSON,29,Cédric TESSIER,64,,0,3
8,187,René COIGNAUD,8,Marcel PÉPIN,5,Pierre SAMSON,19,Cédric TESSIER,89,,0,2
8,188,René COIGNAUD,10,Marcel PÉPIN,4,Pierre SAMSON,16,Cédric TESSIER,37,,0,1
8,189,René COIGNAUD,16,Marcel PÉPIN,13,Pierre SAMSON,14,Cédric TESSIER,26,,0,1
8,190,René COIGNAUD,9,Marcel PÉPIN,13,Pierre SAMSON,19,Cédric TESSIER,47,,0,1
8,191,René COIGNAUD,20,Marcel PÉPIN,14,Pierre SAMSON,46,Cédric TESSIER,56,,0,2
8,192,René COIGNAUD,17,Marcel PÉPIN,5,Pierre SAMSON,20,Cédric TESSIER,20,,0,2
8,193,René COIGNAUD,33,Marcel PÉPIN,18,Pierre SAMSON,18,Cédric TESSIER,41,,0,3
8,194,René COIGNAUD,17,Marcel PÉPIN,13,Pierre SAMSON,8,Cédric TESSIER,24,,0,1
8,BVA-08-1,René COIGNAUD,33,Marcel PÉPIN,25,Pierre SAMSON,50,Cédric TESSIER,93,,0,3
8,BVA-08-2,René COIGNAUD,9,Marcel PÉPIN,13,Pierre SAMSON,24,Cédric TESSIER,57,,0,2
8,BVA-08-3,René COIGNAUD,11,Marcel PÉPIN,7,Pierre SAMSON,24,Cédric TESSIER,59,,0,2
8,195,René COIGNAUD,16,Marcel PÉPIN,12,Pierre SAMSON,28,Cédric TESSIER,47,,0,1
8,196,René COIGNAUD,30,Marcel PÉPIN,13,Pierre SAMSON,19,Cédric TESSIER,49,,0,6
8,197,René COIGNAUD,19,Marcel PÉPIN,22,Pierre SAMSON,33,Cédric TESSIER,52,,0,3
8,198,René COIGNAUD,34,Marcel PÉPIN,22,Pierre SAMSON,47,Cédric TESSIER,62,,0,4
8,199,René COIGNAUD,30,Marcel PÉPIN,17,Pierre SAMSON,47,Cédric TESSIER,76,,0,4
8,BVA-08-4,René COIGNAUD,12,Marcel PÉPIN,3,Pierre SAMSON,19,Cédric TESSIER,28,,0,1
8,BVA-08-5,René COIGNAUD,7,Marcel PÉPIN,11,Pierre SAMSON,36,Cédric TESSIER,35,,0,0
8,BVA-08-6,René COIGNAUD,26,Marcel PÉPIN,18,Pierre SAMSON,34,Cédric TESSIER,59,,0,0
9,200,Renée AMYOT,64,Paul LOYER,30,Denis PAGEAU,65,,0,,0,4
9,201,Renée AMYOT,70,Paul LOYER,39,Denis PAGEAU,60,,0,,0,1
9,202,Renée AMYOT,75,Paul LOYER,37,Denis PAGEAU,45,,0,,0,2
9,203,Renée AMYOT,100,Paul LOYER,39,Denis PAGEAU,64,,0,,0,0
9,204,Renée AMYOT,83,Paul LOYER,44,Denis PAGEAU,42,,0,,0,4
9,205,Renée AMYOT,86,Paul LOYER,60,Denis PAGEAU,25,,0,,0,2
9,206,Renée AMYOT,159,Paul LOYER,32,Denis PAGEAU,23,,0,,0,7
9,207,Renée AMYOT,136,Paul LOYER,46,Denis PAGEAU,31,,0,,0,4
9,208,Renée AMYOT,116,Paul LOYER,39,Denis PAGEAU,36,,0,,0,2
9,BVA-09-1,Renée AMYOT,118,Paul LOYER,39,Denis PAGEAU,66,,0,,0,3
9,BVA-09-2,Renée AMYOT,152,Paul LOYER,54,Denis PAGEAU,24,,0,,0,4
9,BVA-09-3,Renée AMYOT,100,Paul LOYER,52,Denis PAGEAU,23,,0,,0,3
9,209,Renée AMYOT,130,Paul LOYER,35,Denis PAGEAU,34,,0,,0,2
9,210,Renée AMYOT,112,Paul LOYER,28,Denis PAGEAU,37,,0,,0,1
9,211,Renée AMYOT,120,Paul LOYER,64,Denis PAGEAU,40,,0,,0,5
9,212,Renée AMYOT,104,Paul LOYER,28,Denis PAGEAU,49,,0,,0,3
9,213,Renée AMYOT,89,Paul LOYER,30,Denis PAGEAU,33,,0,,0,7
9,214,Renée AMYOT,57,Paul LOYER,40,Denis PAGEAU,32,,0,,0,4
9,215,Renée AMYOT,82,Paul LOYER,54,Denis PAGEAU,32,,0,,0,5
9,216,Renée AMYOT,76,Paul LOYER,40,Denis PAGEAU,42,,0,,0,5
9,217,Renée AMYOT,73,Paul LOYER,44,Denis PAGEAU,39,,0,,0,1
9,218,Renée AMYOT,74,Paul LOYER,30,Denis PAGEAU,31,,0,,0,5
9,219,Renée AMYOT,110,Paul LOYER,41,Denis PAGEAU,30,,0,,0,1
9,220,Renée AMYOT,124,Paul LOYER,31,Denis PAGEAU,51,,0,,0,2
9,221,Renée AMYOT,121,Paul LOYER,38,Denis PAGEAU,32,,0,,0,5
9,222,Renée AMYOT,107,Paul LOYER,55,Denis PAGEAU,23,,0,,0,0
9,223,Renée AMYOT,88,Paul LOYER,21,Denis PAGEAU,28,,0,,0,0
9,BVA-09-4,Renée AMYOT,63,Paul LOYER,24,Denis PAGEAU,33,,0,,0,1
9,BVA-09-5,Renée AMYOT,98,Paul LOYER,38,Denis PAGEAU,27,,0,,0,1
9,BVA-09-6,Renée AMYOT,151,Paul LOYER,35,Denis PAGEAU,30,,0,,0,5
10,224,Yves DURAND,32,Nathalie LEMIEUX,108,Charles MONETTE,17,Mahmoud RIDA,51,,0,13
10,225,Yves DURAND,25,Nathalie LEMIEUX,64,Charles MONETTE,15,Mahmoud RIDA,25,,0,0
10,226,Yves DURAND,7,Nathalie LEMIEUX,80,Charles MONETTE,13,Mahmoud RIDA,17,,0,0
10,227,Yves DURAND,18,Nathalie LEMIEUX,91,Charles MONETTE,38,Mahmoud RIDA,13,,0,3
10,228,Yves DURAND,19,Nathalie LEMIEUX,98,Charles MONETTE,22,Mahmoud RIDA,15,,0,2
10,229,Yves DURAND,18,Nathalie LEMIEUX,88,Charles MONETTE,31,Mahmoud RIDA,15,,0,1
10,230,Yves DURAND,28,Nathalie LEMIEUX,92,Charles MONETTE,32,Mahmoud RIDA,15,,0,2
10,231,Yves DURAND,19,Nathalie LEMIEUX,55,Charles MONETTE,8,Mahmoud RIDA,12,,0,2
10,232,Yves DURAND,21,Nathalie LEMIEUX,92,Charles MONETTE,13,Mahmoud RIDA,18,,0,1
