id_station,timestamp_local,compte_dir_nord,compte_dir_sud,compte_dir_est,compte_dir_ouest,compte_total
V01,2020-06-21T08:30:00-04,,,1,1,2
V01,2020-06-21T08:45:00-04,,,2,0,2
V01,2020-06-21T09:00:00-04,,,4,2,6
V01,2020-06-21T09:15:00-04,,,5,1,6
V01,2020-06-21T09:30:00-04,,,3,2,5
V01,2020-06-21T09:45:00-04,,,7,5,12
V01,2020-06-21T10:00:00-04,,,1,5,6
V01,2020-06-21T10:15:00-04,,,6,1,7
V01,2020-06-21T10:30:00-04,,,6,4,10
V01,2020-06-21T10:45:00-04,,,10,3,13
V01,2020-06-21T11:00:00-04,,,1,3,4
V01,2020-06-21T11:15:00-04,,,4,3,7
V01,2020-06-21T11:30:00-04,,,0,3,3
V01,2020-06-21T11:45:00-04,,,2,0,2
V01,2020-06-21T12:00:00-04,,,2,2,4
V01,2020-06-21T12:15:00-04,,,3,1,4
V01,2020-06-21T12:30:00-04,,,0,3,3
V01,2020-06-21T12:45:00-04,,,4,0,4
V01,2020-06-21T13:00:00-04,,,1,2,3
V01,2020-06-21T13:15:00-04,,,2,1,3
V01,2020-06-21T13:30:00-04,,,3,1,4
V01,2020-06-21T13:45:00-04,,,1,2,3
V01,2020-06-21T14:00:00-04,,,3,0,3
V01,2020-06-21T14:15:00-04,,,5,1,6
V01,2020-06-21T14:30:00-04,,,1,3,4
V01,2020-06-21T14:45:00-04,,,3,7,10
V01,2020-06-21T15:00:00-04,,,2,5,7
V01,2020-06-21T15:15:00-04,,,4,4,8
V01,2020-06-21T15:30:00-04,,,7,2,9
V01,2020-06-21T15:45:00-04,,,6,3,9
V01,2020-06-21T16:00:00-04,,,1,1,2
V01,2020-06-21T16:15:00-04,,,0,3,3
V01,2020-06-21T16:30:00-04,,,9,6,15
V01,2020-06-21T16:45:00-04,,,4,0,4
V01,2020-06-21T17:00:00-04,,,3,0,3
V01,2020-06-21T17:15:00-04,,,0,2,2
V01,2020-06-21T17:30:00-04,,,0,1,1
V01,2020-06-21T17:45:00-04,,,5,1,6
V01,2020-06-21T18:00:00-04,,,2,1,3
V01,2020-06-21T18:15:00-04,,,5,0,5
V01,2020-06-21T18:30:00-04,,,1,4,5
V01,2020-06-21T18:45:00-04,,,4,3,7
V01,2020-06-21T19:00:00-04,,,4,2,6
V01,2020-06-21T19:15:00-04,,,5,2,7
V01,2020-06-21T19:30:00-04,,,3,3,6
V01,2020-06-21T19:45:00-04,,,5,0,5
V01,2020-06-21T20:00:00-04,,,5,3,8
V01,2020-06-21T20:15:00-04,,,6,5,11
V01,2020-06-21T20:30:00-04,,,1,10,11
V01,2020-06-21T20:45:00-04,,,5,2,7
V01,2020-06-21T21:00:00-04,,,2,0,2
V01,2020-06-21T21:15:00-04,,,3,1,4
V01,2020-06-21T21:30:00-04,,,2,4,6
V01,2020-06-21T21:45:00-04,,,1,0,1
V01,2020-06-21T22:00:00-04,,,0,0,0
V01,2020-06-21T22:15:00-04,,,1,6,7
V01,2020-06-21T22:30:00-04,,,0,0,0
V01,2020-06-21T22:45:00-04,,,0,1,1
V01,2020-06-21T23:00:00-04,,,1,0,1
V01,2020-06-21T23:15:00-04,,,1,0,1
V01,2020-06-21T23:30:00-04,,,1,0,1
V01,2020-06-21T23:45:00-04,,,0,3,3
V01,2020-06-22T00:00:00-04,,,0,0,0
V01,2020-06-22T00:15:00-04,,,0,0,0
V01,2020-06-22T00:30:00-04,,,1,0,1
V01,2020-06-22T00:45:00-04,,,0,0,0
V01,2020-06-22T01:00:00-04,,,2,0,2
V01,2020-06-22T01:15:00-04,,,1,0,1
V01,2020-06-22T01:30:00-04,,,0,0,0
V01,2020-06-22T01:45:00-04,,,0,0,0
V01,2020-06-22T02:00:00-04,,,0,0,0
V01,2020-06-22T02:15:00-04,,,0,0,0
V01,2020-06-22T02:30:00-04,,,1,0,1
V01,2020-06-22T02:45:00-04,,,0,0,0
V01,2020-06-22T03:00:00-04,,,0,0,0
V01,2020-06-22T03:15:00-04,,,0,0,0
V01,2020-06-22T03:30:00-04,,,0,0,0
V01,2020-06-22T03:45:00-04,,,0,0,0
V01,2020-06-22T04:00:00-04,,,0,0,0
V01,2020-06-22T04:15:00-04,,,0,0,0
