"Station","Date","%OD","O2 (mg/L)","COND.","pH","TEMP  (oC)","Signe COLI","COLI","MÉTÉO","Ag (µg/L)","Al (µg/L)","As (µg/L)","Ba (µg/L)","Be (µg/L)","Ca (µg/L)","Cd (µg/L)","Co (µg/L)","COT (µg/L)","Cr (µg/L)","Cu (µg/L)","Fe (µg/L)","K (µg/L)","Mg (µg/L)","Mn (µg/L)","Mo (µg/L)","Na (µg/L)","NH3 (µg/L)","Ni (µg/L)","Ptot (µg/L)","Pb (µg/L)","MES  (mg/L)","Sb (µg/L)","Se (µg/L)","Sn (µg/L)","U (µg/L)","V (µg/L)","Zn (µg/L)"
"EMIS-40P",02/10/2017 14:47,"101,2","9,41",293,"8,26","18,85","=",15000,1,"0,1",83,"0,8",22,"0,1",32800,"0,1","0,1","2,8","0,8","1,1",111,1710,8590,"6,5","1,1",13000,90,"0,7",12,"0,2","2,6","0,5","0,5","1,0","0,4","0,4","7,0"
"EMIS-40RN",21/06/2017 14:30,"100,3","9,12",163,,"19,98","=",2600,-1,"0,1",496,"0,5",19,"0,1",17000,"0,1","0,3","5,1","1,1","1,9",531,1060,4320,"23,3",1,7650,60,"1,1",30,"0,5","12,2","0,5","0,5","1,0","0,2","0,4","7,0"
"EMIS-40RN",14/08/2017 13:29,"100,4","8,55",194,"8,01","23,36","=",3900,-1,"0,1",266,"0,5",20,"0,1",20300,"0,1","0,2",5,"0,8","1,4",331,1170,5400,"14,7",1,9120,50,"0,9",23,"0,2",7,"0,5","0,5","1,0","0,2","0,3","7,0"
"EMIS-40RN",30/08/2017 14:25,"102,8",9,147,"7,8","21,89","=",490,1,"0,1",315,"0,5",21,"0,1",16500,"0,1","0,2",6,"1,1","1,7",437,1120,4250,"19,4",1,6880,50,1,28,"0,3","7,8","0,5","0,5","1,0","0,2","0,4","7,0"
"EMIS-40RN",06/09/2017 14:40,"98,9","9,14",144,"7,86","19,18","=",1300,-1,"0,1",305,"0,6",21,"0,1",17200,"0,1","0,2","5,7",1,"1,6",410,1160,4530,"18,3",1,7180,50,"0,9",23,"0,2",6,"0,5","0,5","1,0","0,2","0,3","7,0"
"EMIS-40RN",13/09/2017 14:11,102,"9,41",132,"7,85","19,26","=",540,1,"0,1",255,"0,5",19,"0,1",15400,"0,1","0,2","5,8","0,9","1,6",360,1070,3940,"15,5",1,6350,40,"1,1",24,"0,3","4,2","0,5","0,5","1,0","0,2","0,4","7,0"
"EMIS-40RN",25/09/2017 13:21,"101,1","8,78",170,"7,94","22,31","=",1700,1,"0,1",218,"0,6",20,"0,1",19400,"0,1","0,2","4,9","0,8","1,5",309,1230,5050,"13,1",1,7990,30,"0,8",18,"0,3","3,2","0,5","0,5","1,0","0,2",,
"EMIS-40RN",02/10/2017 14:52,"99,9","9,42",115,"7,94","18,15","=",310,1,"0,1",290,"0,5",18,"0,1",14500,"0,1","0,2","5,3","1,3","1,5",404,1060,3690,"17,1",1,6220,50,"0,9",23,"0,3","4,4","0,5","0,5","1,0","0,2",,
"EMIS-40RS",21/06/2017 14:39,"104,3","9,73",295,,"18,7","<",100,-1,"0,1",183,"0,8",24,"0,1",33000,"0,1","0,1","2,7","0,6","1,2",231,1540,8340,"9,8",1,14000,20,"0,9",14,"0,2","6,1","0,5","0,5","1,0","0,3",,
"EMIS-40RS",14/08/2017 13:38,"103,1","8,88",298,"8,32","22,73","=",90,-1,"0,1",179,"0,8",23,"0,1",31500,"0,1","0,1","2,6","0,6","1,7",211,1520,8320,"7,8",1,13200,20,"0,9",15,"0,2","6,1","0,5","0,5","1,0","0,3",,
